	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
85	AR	2017.0	8	Statistics and Probability	8.EE.A.4		0	The distance between Earth and the Moon is approximately 2.39 x 10^5 miles. To the nearest hour, how long would it take for a space shuttle traveling 18,000 mph to make a round-trip from Earth to the Moon and back?	13	27	301	1328	7531	The distance between Earth and the Moon is approximately 2.39 x 10^5 miles. To the nearest hour, how long would it take for a space shuttle traveling 18,000 mph to make a round-trip from Earth to the Moon and back? 13 27 301 1328 7531
86	AR	2017.0	8	Statistics and Probability	8.SP.A.2		1	The scatterplots below are of 3 different data sets graphed in the standard (x,y) coordinate plane. Each data set has a line of fit shown in the scatterplot. Which of the scatterplots below has (have) a line that fits the data well?	I Only	II Only	III Only	I and III only	I, II, and III	The scatterplots below are of 3 different data sets graphed in the standard (x,y) coordinate plane. Each data set has a line of fit shown in the scatterplot. Which of the scatterplots below has (have) a line that fits the data well? I Only II Only III Only I and III only I, II, and III
87	AR	2017.0	8	Geometry	8.G.C.9		1	A cone and 2 cylinders are shown below. The volume of the cone is 15 cubic centimeters. Each of the 2 cylinders has the same height and the same radius as the cone. What is the combined volume, in cubic centimeters, of the 2 cylinders?	5	10	30	45	90	A cone and 2 cylinders are shown below. The volume of the cone is 15 cubic centimeters. Each of the 2 cylinders has the same height and the same radius as the cone. What is the combined volume, in cubic centimeters, of the 2 cylinders? 5 10 30 45 90
88	AR	2017.0	8	Statistics and Probability	8.SP.A.1		1	Fifteen dancers participated in competitions over the last year. Each point in the scatterplot below represents the average weekly number of hours practiced and the number of wins in competitions for one of the dancers. One of the following describes the association between the average weekly number of hours practiced and the number of wins. Which one?	Positive, linear, at least 1 outlier	Negative, linear, at least one outlier	Positive, nonlinear, at least one outlier	Negative, nonlinear, no outliers	Negative, nonlinear, at least 1 outlier	Fifteen dancers participated in competitions over the last year. Each point in the scatterplot below represents the average weekly number of hours practiced and the number of wins in competitions for one of the dancers. One of the following describes the association between the average weekly number of hours practiced and the number of wins. Which one? Positive, linear, at least 1 outlier Negative, linear, at least one outlier Positive, nonlinear, at least one outlier Negative, nonlinear, no outliers Negative, nonlinear, at least 1 outlier
89	AR	2017.0	8	Expressions and Equations	7.EE.A		1	Molly built a dollhouse that is a scale model of her home. The floor plan for the bottom floor of the dollhouse is shown below, with measurements in inches. The rooms and hall are represented by rectangles. Which of the following expressions is equivalent to the expression Molly used to determine the length, in inches, of material she needed for curtains?	3.6(0.05)	3.6 + 0.05	3.6 + 5(3.6)	3.6(1 + 1.05)	3.6(1 + 0.05)	Molly built a dollhouse that is a scale model of her home. The floor plan for the bottom floor of the dollhouse is shown below, with measurements in inches. The rooms and hall are represented by rectangles. Which of the following expressions is equivalent to the expression Molly used to determine the length, in inches, of material she needed for curtains? 3.6(0.05) 3.6 + 0.05 3.6 + 5(3.6) 3.6(1 + 1.05) 3.6(1 + 0.05)
118	CO	2020.0	8				0	Which decimal is equivalent to 11/15?	0.7337337337	0.73	0.7333333333	0.733		Which decimal is equivalent to 11/15? 0.733733733733733 0.73 0.73333333333333 0.733
119	CO	2020.0	8				0	Which expression is equivalent to 4^5 x 4 ^-3  ?	4 ^ 8	4 ^ 2	4 ^ -2	4 ^ -8		Which expression is equivalent to 4^5 x 4 ^-3  ? 4 ^ 8 4 ^ 2 4 ^ -2 4 ^ -8
120	CO	2020.0	8				1	A right triangle is shown. What is the value of x, in centimeters?	17	22	26	34		A right triangle is shown. What is the value of x, in centimeters? 17 22 26 34
121	CO	2020.0	8				1	Two linear functions are described. Which statement is true about the rate of change of Function Q?	It is  3   times the rate of change of Function R.	It is  2  times the rate of change of Function R.	It is 1/2   the rate of change of Function R.	It is 1/3   the rate of change of Function R.		Two linear functions are described. Which statement is true about the rate of change of Function Q? It is  3   times the rate of change of Function R. It is  2  times the rate of change of Function R. It is 1/2   the rate of change of Function R. It is 1/3   the rate of change of Function R.
180	FL	2020.0	8	The Number System	MAFS.8.NS.1.1		0	Which number is irrational?	√64	2022-01-02 00:00:00	√16 / 4	√20 / 5		Which number is irrational? √64 1/2 √16 / 4 √20 / 5
181	FL	2020.0	8	The Number System	MAFS.8.NS.1.2		0	What is the approximate value of √12 ?	2	3.5	4.5	6		What is the approximate value of √12 ?  2 3.5 4.5 6
182	FL	2020.0	8	Expressions and Equations	MAFS.8.EE.1.1		0	Which expression is equivalent to  1/27 ?	3^1 ∙ 3^−10	3^−1 ∙ 3^10	3^−4 ∙ 3^7	3^4 ∙ 3^−7		Which expression is equivalent to  1/27 ?  3^1 ∙ 3^−10 3^−1 ∙ 3^10 3^−4 ∙ 3^7 3^4 ∙ 3^−7
183	FL	2020.0	8	Expressions and Equations	MAFS.8.EE.1.1		0	Which expression is equivalent to 5^4 ∙ (5^−3)^2 ?	5^1	5^2	(1/5)^1	(1/5)^2		Which expression is equivalent to 5^4 ∙ (5^−3)^2 ?   5^1 5^2 (1/5)^1 (1/5)^2
184	FL	2020.0	8	Expressions and Equations	MAFS.8.EE.3.7b		0	Explain why 3(x + 4) = 3(x − 5) has no solution. Choose the best response below.	The coefficients of 𝑥 are the same, but the constant terms are different.	The coefficients of 𝑥 are different, but the constant terms are the same.	The coefficients of 𝑥 are the same, and the constant terms are same.	The coefficients of 𝑥 are different, and the constant terms are different.		Explain why 3(x + 4) = 3(x − 5) has no solution. Choose the best response below.  The coefficients of 𝑥 are the same, but the constant terms are different. The coefficients of 𝑥 are different, but the constant terms are the same. The coefficients of 𝑥 are the same, and the constant terms are same. The coefficients of 𝑥 are different, and the constant terms are different.
185	FL	2020.0	8	Geometry	MAFS.8.G.2.6		0	Which set of numbers forms a right triangle?	2003-01-02 00:00:00	3.2, 7, 8	3.6, 4.7, 5	2010-06-08 00:00:00		Which set of numbers forms a right triangle? 1, 2, 3 3.2, 7, 8  3.6, 4.7, 5 6, 8, 10
186	FL	2020.0	8	Geometry	MAFS.8.G.1.1		1	Triangle ABC and its transformation DEF are shown. What transformation of triangle ABC produced triangle DEF?	vertical translation	dilation about point C	rotation about point A	reflection across a horizontal line		Triangle ABC and its transformation DEF are shown. What transformation of triangle ABC produced triangle DEF?  vertical translation dilation about point C rotation about point A reflection across a horizontal line
187	FL	2020.0	8	Statistics and Probability	MAFS.8.SP.1.3		1	The total snow accumulated, in inches, every hour for 8 hours was recorded as shown in the table. The linear equation y = 1.5x + 0.125 can be used to model the data in the table. What is the meaning of 1.5 in terms of the context?	After 1.5 hours, the snow begins.	It snows exactly 1.5 inches each hour.	The snow is accumulating at about 1.5 inches per hour.	The ground has 1.5 inches of snow before the data starts.		The total snow accumulated, in inches, every hour for 8 hours was recorded as shown in the table. The linear equation y = 1.5x + 0.125 can be used to model the data in the table. What is the meaning of 1.5 in terms of the context? After 1.5 hours, the snow begins. It snows exactly 1.5 inches each hour. The snow is accumulating at about 1.5 inches per hour. The ground has 1.5 inches of snow before the data starts.
281	GA	2020.0	8	The Number System	MGSE8.NS.2		0	Between which two integers is the value of  √21   ?	0 to 1	4 to 5	6 to 7	10 to 11		Between which two integers is the value of  √21   ? 0 to 1 4 to 5 6 to 7 10 to 11
282	GA	2020.0	8	Expressions and Equations	MGSE8.EE.3		0	A grain of sand has a mass of approximately 6 × 10^–2 grams.  Earth has a mass of approximately 6 × 10^28 grams. How many times the mass of the grain of sand is the mass of Earth?	1 x 10^-54	1 x 10^-14	1 x 10^26	1 x 10^30		A grain of sand has a mass of approximately 6 × 10^–2 grams.  Earth has a mass of approximately 6 × 10^28 grams. How many times the mass of the grain of sand is the mass of Earth? 1 x 10^-54 1 x 10^-14 1 x 10^26 1 x 10^30
283	GA	2020.0	8	Geometry	MGSE8.G.9		0	For a classroom party, there are 12 bottles of fruit punch.  Each bottle is filled with 850 cubic centimeters of punch.  The fruit punch will be served in cone-shaped paper cups that are 7 centimeters across and 12 centimeters tall.  How many completely full cone-shaped cups of the punch can be poured?	16	66	232	265		For a classroom party, there are 12 bottles of fruit punch.  Each bottle is filled with 850 cubic centimeters of punch.  The fruit punch will be served in cone-shaped paper cups that are 7 centimeters across and 12 centimeters tall.  How many completely full cone-shaped cups of the punch can be poured? 16 66 232 265
284	GA	2020.0	8	Functions	MGSE8.F.3		0	Which equation represents a nonlinear function?	y = 3x^3	3x + 2y = 10	y = 15.3	y = 1/4x - 2		Which equation represents a nonlinear function? y = 3x^3 3x + 2y = 10 y = 15.3 y = 1/4x - 2
285	GA	2020.0	8	Expressions and Equations	MGSE8.EE.5		0	Ramon and Hector ride their bikes at constant rates during a race. Ramon rides 45 miles in 3 hours. The distance, y, in miles, Hector rides in x hours is given by the equation y = 18x. Which statement is true?	Ramon rides his bike 3 miles per hour faster than Hector rides his bike.	Ramon rides his bike 27 miles per hour faster than Hector rides his bike.	Ramon rides his bike 3 miles per hour slower than Hector rides his bike.	Ramon rides his bike 27 miles per hour slower than Hector rides his bike.		Ramon and Hector ride their bikes at constant rates during a race. Ramon rides 45 miles in 3 hours. The distance, y, in miles, Hector rides in x hours is given by the equation y = 18x. Which statement is true?  Ramon rides his bike 3 miles per hour faster than Hector rides his bike. Ramon rides his bike 27 miles per hour faster than Hector rides his bike. Ramon rides his bike 3 miles per hour slower than Hector rides his bike. Ramon rides his bike 27 miles per hour slower than Hector rides his bike.
286	GA	2020.0	8	Expressions and Equations	MGSE8.EE.8b		0	Consider this system of equations.      –7x + 8y = 1    4x – 8y = 20  What is the y-coordinate of the solution for this system?	-1	-6	1	6		Consider this system of equations.      –7x + 8y = 1    4x – 8y = 20  What is the y-coordinate of the solution for this system? -1 -6 1 6
287	GA	2020.0	8	Expressions and Equations	MGSE8.EE.8b		0	Which system of equations has exactly one solution?	5x – y = –35                  x – y = –2	8x – 3y = –12                 x – 3y = 9	3x – y = 4                            9x – 3y = 12	2x – y = 3                            2x – y = –4		Which system of equations has exactly one solution? 5x – y = –35                  x – y = –2 8x – 3y = –12                 x – 3y = 9 3x – y = 4                            9x – 3y = 12 2x – y = 3                            2x – y = –4
288	GA	2020.0	8	Geometry	MGSE8.G.1		1	Look at the graph of a line segment before and after a transformation occurred. Which statement describes the transformation that could have been made to the line segment?	The line segment was dilated by a factor of    1/2 .	The line segment was rotated 180° about the origin.	The line segment was reflected over the x-axis.	The line segment was translated 6 units down and 1 unit left.		Look at the graph of a line segment before and after a transformation occurred. Which statement describes the transformation that could have been made to the line segment? The line segment was dilated by a factor of    1/2 . The line segment was rotated 180° about the origin. The line segment was reflected over the x-axis. The line segment was translated 6 units down and 1 unit left.
289	GA	2020.0	8	Geometry	MGSE8.G.1		1	A line segment on a graph has endpoints of (–3, 1) and (3, 1). It is translated 5 units down and then reflected across the x-axis.  What are the endpoints after the series of transformations?	(–3, –4) and (3, 4)	(–3, –1) and (3, –1)	(–3, 4) and (3, 4)	(–3, –6) and (3, –6)		A line segment on a graph has endpoints of (–3, 1) and (3, 1). It is translated 5 units down and then reflected across the x-axis.  What are the endpoints after the series of transformations? (–3, –4) and (3, 4) (–3, –1) and (3, –1) (–3, 4) and (3, 4) (–3, –6) and (3, –6)
290	GA	2020.0	8	Geometry	MGSE8.G.7		1	Jenna wants to hang outdoor stringed lights on her house along the roof line and horizontally across the side of her house, connecting the ends of the roof line to create a triangle. What is the approximate total length, in feet, of lights that she needs to create one triangle?	48	64	80	98		Jenna wants to hang outdoor stringed lights on her house along the roof line and horizontally across the side of her house, connecting the ends of the roof line to create a triangle. What is the approximate total length, in feet, of lights that she needs to create one triangle? 48 64 80 98
291	GA	2020.0	8	Geometry	MGSE8.G.8		1	Look at the right triangle on the coordinate grid. What is the length of the hypotenuse?	√11     units	√24 units	√55 units	√73 units		Look at the right triangle on the coordinate grid. What is the length of the hypotenuse? √11     units √24 units √55 units √73 units
292	GA	2020.0	8	Geometry	MGSE8.G.8		1	The coordinate grid shows right triangle EFG and point H. What is the distance, in units, from point E to point G?	3	√18	√41	9		The coordinate grid shows right triangle EFG and point H. What is the distance, in units, from point E to point G? 3 √18 √41 9
293	GA	2020.0	8	Geometry	MGSE8.G.8		1	What is the distance, in units, from point E to point H?	√7	√14	5	7		What is the distance, in units, from point E to point H? √7 √14 5 7
294	GA	2020.0	8	Functions	MGSE8.F.1		1	The table shown represents a relation between x and y.  Which statement about the relation is true?	Because each value in the range is paired with exactly one value in the domain, the relation is a function.	Because each value in the domain is paired with exactly one value in the range, the relation is a function.	Because there are some values in the range assigned to more than one value in the domain, the relation is not a function.	Because there are some values in the domain assigned to more than one value in the range, the relation is not a function.		The table shown represents a relation between x and y.  Which statement about the relation is true? Because each value in the range is paired with exactly one value in the domain, the relation is a function. Because each value in the domain is paired with exactly one value in the range, the relation is a function. Because there are some values in the range assigned to more than one value in the domain, the relation is not a function. Because there are some values in the domain assigned to more than one value in the range, the relation is not a function.
295	GA	2020.0	8	Expressions and Equations	MGSE8.EE.6		1	Consider this graph of a line that passes through the points (0, 0) and (5, 30). Which equation represents the cost of a phone call, c, in cents, after m minutes, according to the payment plan?	c = 1/6m	c = 6m	c = 1/30m	c = 30m		Consider this graph of a line that passes through the points (0, 0) and (5, 30). Which equation represents the cost of a phone call, c, in cents, after m minutes, according to the payment plan? c = 1/6m c = 6m c = 1/30m c = 30m
296	GA	2020.0	8	Statistics and Probability	MGSE8.SP.1		1	Look at the scatter plot showing the relationship between the average daily temperature and the number of visitors at a beach. What is the pattern of association shown by the data?	no association	positive association	negative association	nonlinear association		Look at the scatter plot showing the relationship between the average daily temperature and the number of visitors at a beach. What is the pattern of association shown by the data? no association positive association negative association nonlinear association
297	GA	2020.0	8	Statistics and Probability	MGSE8.SP.4		1	The two-way table shows some survey results from when 100 Georgia residents were asked whether they were born in Georgia. There are values missing from the two-way table.  You will need to determine the missing values from the two-way table. How many of the males surveyed were not born in Georgia?	16	18	29	34		The two-way table shows some survey results from when 100 Georgia residents were asked whether they were born in Georgia. There are values missing from the two-way table.  You will need to determine the missing values from the two-way table. How many of the males surveyed were not born in Georgia? 16 18 29 34
447	IA		8	Expressions and Equations	8.EE.A.1		0	Which expression is equivalent to (4^2) (4^5) ?	4^7	4^10	16^7	16^10		Which expression is equivalent to (4^2) (4^5) ? 4^7 4^10 16^7 16^10
448	IA		8	Expressions and Equations	8.EE.A.2		0	What is the value of the expression below?  √144	12	14.4	36	72		What is the value of the expression below?  √144 12 14.4 36 72
449	IA		8	Functions	8.F.A.1		0	The graph of a certain function in the standard (x, y) coordinate plane consists of the points (0, 3) , (3, 5) , (8, 4) , and one additional point. Which point could be the additional point?	(0, 2)	(3, 2)	(4, 2)	(8, 2)		The graph of a certain function in the standard (x, y) coordinate plane consists of the points (0, 3) , (3, 5) , (8, 4) , and one additional point. Which point could be the additional point? (0, 2) (3, 2) (4, 2) (8, 2)
450	IA		8	The Number System	8.NS.A.1		0	Which number is irrational?	√25	3.852452452	6.25417936	12.112111211112...		Which number is irrational? √25 3.8524524524 6.25417936 12.112111211112...
451	IA		8	Expressions and Equations	8.EE.A.3		0	A cat's heart beats approximately 80,000,000 times in a year. Which number is equal to 80,000,000 ?	8 x 10^6	8 x 10^7	8 x 10^8	8 x 10^9		A cat's heart beats approximately 80,000,000 times in a year. Which number is equal to 80,000,000 ? 8 x 10^6 8 x 10^7 8 x 10^8 8 x 10^9
452	IA		8	Functions	8.F.A.3		0	In the standard (x, y) coordinate plane, which of the following equations is represented by a linear graph?	y = x^2	y = 2√x	y = 1/x	y = 1/2x		In the standard (x, y) coordinate plane, which of the following equations is represented by a linear graph? y = x^2 y = 2√x y = 1/x y = 1/2x
453	IA		8	Expressions and Equations	8.EE.C.7		0	What is the value of x in the equation below?  -3/4x = -24	-32	-18	18	32		What is the value of x in the equation below?  -3/4x = -24 -32 -18 18 32
454	IA		8	The Number System	8.NS.A.2		0	Which value is closest to √16 + √36	7	10	24	26		Which value is closest to √16 + √36 7 10 24 26
455	IA		8	Functions	8.F.B.4		0	Tracy shovels snow off of driveways in the winter. She earns the same amount of money for each driveway she shovels. Last week, Tracy shoveled 6 driveways and earned $48. This week, she shoveled 5 driveways and earned $40. Which equation represents the relationship between the number of driveways Tracy shovels, n, and the total amount, a dollars, she earns?	a = 1/8n	a = 8n	a = n + 8	a = 8n + 1		Tracy shovels snow off of driveways in the winter. She earns the same amount of money for each driveway she shovels. Last week, Tracy shoveled 6 driveways and earned $48. This week, she shoveled 5 driveways and earned $40. Which equation represents the relationship between the number of driveways Tracy shovels, n, and the total amount, a dollars, she earns? a = 1/8n a = 8n a = n + 8 a = 8n + 1
456	IA		8	Expressions and Equations	8.EE.B.6		0	Which equation is represented by a line passing through (-9, 7) and (3, 3) in the standard (x, y) coordinate plane?	y = 3x + 34	y = - 3x - 20	y = - 1 / 3x + 4	y = - 1 / 3x + 10		Which equation is represented by a line passing through (-9, 7) and (3, 3) in the standard (x, y) coordinate plane? y = 3x + 34 y = - 3x - 20 y = - 1 / 3x + 4 y = - 1 / 3x + 10
457	IA		8	Expressions and Equations	8.EE.A.1		0	Which expression is equivalent to 2^-1 / 2^2  ?	2^ -1-2	2^-1+2	2^2-1	2^2-(-1)		Which expression is equivalent to 2^-1 / 2^2  ? 2^ -1-2 2^-1+2 2^2-1 2^2-(-1)
458	IA		8	Geometry	8.G.C.9		0	The base of a solid wood cylinder has a radius of r centimeters, and the height of the cylinder is h centimeters. The cylinder weighs w kilograms per cubic centimeter. Which expression gives the weight of the cylinder, in kilograms?	2πrhw	πr^2hw	4πr^2hw	4/3πr^3hw		The base of a solid wood cylinder has a radius of r centimeters, and the height of the cylinder is h centimeters. The cylinder weighs w kilograms per cubic centimeter. Which expression gives the weight of the cylinder, in kilograms? 2πrhw πr^2hw 4πr^2hw 4/3πr^3hw
459	IA		8	Functions	8.F.A.2		0	Sierra and Mandy are each on vacation but in different locations. They both rented bicycles on Friday and Saturday, Sierra from Business A and Mandy from Business B. The rates at both businesses remained the same on both days.  On Friday, Sierra paid $20 to rent a bicycle for 4 hours. Mandy's total cost, c, for renting a bicycle for h hours is modeled by the equation c = 7.5h . On Saturday, when Sierra and Mandy each rented a bicycle for 5 hours, what was the difference in the total amounts they paid?	2.5	7.5	12.5	16.5		Sierra and Mandy are each on vacation but in different locations. They both rented bicycles on Friday and Saturday, Sierra from Business A and Mandy from Business B. The rates at both businesses remained the same on both days.  On Friday, Sierra paid $20 to rent a bicycle for 4 hours. Mandy's total cost, c, for renting a bicycle for h hours is modeled by the equation c = 7.5h . On Saturday, when Sierra and Mandy each rented a bicycle for 5 hours, what was the difference in the total amounts they paid? 2.5 7.5 12.5 16.5
460	IA		8	Expressions and Equations	8.EE.A.4		0	In 2013, the United States Mint produced 3.5 x 10^6 half-dollar coins. Which expression represents the total value, in dollars, of those coins ?	1.75 x 10^3	1.75 x 10^6	7.0 x 10^6	7.0 x 10^12		In 2013, the United States Mint produced 3.5 x 10^6 half-dollar coins. Which expression represents the total value, in dollars, of those coins ? 1.75 x 10^3 1.75 x 10^6 7.0 x 10^6 7.0 x 10^12
461	IA		8	The Number System	8.NS.A.1		0	Which fraction is equal to 3.248?	331 / 125	406 / 125	3,248 / 100	10,000 / 3,248		Which fraction is equal to 3.248?  331 / 125  406 / 125 3,248 / 100 10,000 / 3,248
462	IA		8	Geometry	8.G.B.7		0	A square has a side length of 6 units. How many units long is its diagonal?	6	6√2	6√3	36		A square has a side length of 6 units. How many units long is its diagonal? 6 6√2 6√3 36
463	IA		8	Expressions and Equations	8.EE.C.7		0	Which equation has exactly one solution?	x^2 = 4	4x = 0	x(x + 2) = 0	4(x + 1)  = 4x + 4		Which equation has exactly one solution? x^2 = 4 4x = 0 x(x + 2) = 0 4(x + 1)  = 4x + 4
464	IA		8	Expressions and Equations	8.EE.C.8		0	Grapes are sold in dollars per pound, and raspberries are sold in dollars per package. The total cost of 2 pounds of grapes and 3 packages of raspberries is $16.50. The total cost of 3 pounds of grapes and 1 package of raspberries is $12.50. What is the cost of 1 pound of grapes?	3	3.3	3.5	4.5		Grapes are sold in dollars per pound, and raspberries are sold in dollars per package. The total cost of 2 pounds of grapes and 3 packages of raspberries is $16.50. The total cost of 3 pounds of grapes and 1 package of raspberries is $12.50. What is the cost of 1 pound of grapes? 3 3.3 3.5 4.5
465	IA		8	Statistics and Probability	8.SP.A.1		1	The table below shows data from a report. Which data point is best described as an outlier?	(10, 7)	(13, 26)	(19, 18)	(22, 19)		The table below shows data from a report. Which data point is best described as an outlier? (10, 7) (13, 26) (19, 18) (22, 19)
466	IA		8	Geometry	8.G.A.5		1	In the figure below, lines r and s are parallel and cut by transversal t. What is the value of x?	35⁰	55⁰	65⁰	145⁰		In the figure below, lines r and s are parallel and cut by transversal t. What is the value of x? 35⁰ 55⁰ 65⁰ 145⁰
467	IA		8	Statistics and Probability	8.SP.A.2		1	Which type of association best describes the data in the table below?	Weak positive association	Weak negative association	Strong positive association	Strong negative association		Which type of association best describes the data in the table below? Weak positive association Weak negative association Strong positive association Strong negative association
468	IA		8	Geometry	8.G.A.3		1	The triangle in the standard (x, y) coordinate plane below will be reflected across the x-axis. What is the area, in square coordinate units, of the image of the triangle?	5	10	15	45		The triangle in the standard (x, y) coordinate plane below will be reflected across the x-axis. What is the area, in square coordinate units, of the image of the triangle? 5 10 15 45
469	IA		8	Expressions and Equations	8.EE.B.5		1	Each (x, y) pair in the table below is a point in the standard (x, y) coordinate plane. All of the points lie on the same line. What number should go in the __ ?	2	4	5	7		Each (x, y) pair in the table below is a point in the standard (x, y) coordinate plane. All of the points lie on the same line. What number should go in the __ ? 2 4 5 7
470	IA		8	Statistics and Probability	8.SP.A.3		1	For each point in the scatterplot below, x represents the diameter, in inches, of the trunk of a certain type of tree, and y represents the age, in years, of the same tree. The age of the tree can be approximated using the formula y = mx, where m is the growth factor. Which value best approximates the growth factor for this type of tree?	2022-01-06 00:00:00	1	2	6		For each point in the scatterplot below, x represents the diameter, in inches, of the trunk of a certain type of tree, and y represents the age, in years, of the same tree. The age of the tree can be approximated using the formula y = mx, where m is the growth factor. Which value best approximates the growth factor for this type of tree? 1/6 1 2 6
471	IA		8	Geometry	8.G.B.8		1	In the standard (x, y) coordinate plane, what is the distance, in units, between (3, 7) and (-2, 5) ?	√5	√29	√65	√145		In the standard (x, y) coordinate plane, what is the distance, in units, between (3, 7) and (-2, 5) ? √5 √29 √65 √145
472	IA		8	Statistics and Probability	8.SP.A.4		1	Laurel distributed a survey to 1,000 people. The survey asked whether a person preferred french fries or a baked potato, and also whether the person preferred a chicken sandwich or a pulled pork sandwich. Laurel began recording the results in the table below but did not finish. How many people who preferred french fries also preferred a chicken sandwich?	110	240	480	830		Laurel distributed a survey to 1,000 people. The survey asked whether a person preferred french fries or a baked potato, and also whether the person preferred a chicken sandwich or a pulled pork sandwich. Laurel began recording the results in the table below but did not finish. How many people who preferred french fries also preferred a chicken sandwich? 110 240 480 830
