	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
68	AR	2017.0	3	Operations and Algebraic Thinking	3.OA.D		0	Grace wanted to know how many hours she worked in the library over the last 4 weeks. She worked 5 days each week. She worked 4 hours each day. What is the total number of hours Grace worked over the last 4 weeks?	17	20	24	80	320	Grace wanted to know how many hours she worked in the library over the last 4 weeks. She worked 5 days each week. She worked 4 hours each day. What is the total number of hours Grace worked over the last 4 weeks? 17 20 24 80 320
69	AR	2017.0	3	Number and Operations - Fractions	3.NF.A		1	A total of 6 students decorated the front surface of 2 different bulletin boards. 1 in the computer and 1 in the library. The computer lab bulletin board has 4 sides and 4 right angles and is 10 feet long and 9 feet tall. The library bulletin board is divided into 6 equal parts, as shown below, and is shaded to show the fraction of the front surface the students finished decorating on Tuesday. Each student decorated one or the other of the bulletin boards. More students decorated the computer lab bulletin board than the library bulletin board. Which of the following numbers could be the fraction of students who decorated the computer lab bulletin board?	1 / 3	1 / 5	4 / 8	4 / 5	5 / 8	A total of 6 students decorated the front surface of 2 different bulletin boards. 1 in the computer and 1 in the library. The computer lab bulletin board has 4 sides and 4 right angles and is 10 feet long and 9 feet tall. The library bulletin board is divided into 6 equal parts, as shown below, and is shaded to show the fraction of the front surface the students finished decorating on Tuesday. Each student decorated one or the other of the bulletin boards. More students decorated the computer lab bulletin board than the library bulletin board. Which of the following numbers could be the fraction of students who decorated the computer lab bulletin board?  1 / 3  1 / 5  4 / 8  4 / 5  5 / 8
90	CO	2020.0	3				0	What could the expression  27 ÷ 3 stand for?	There are 3 cows that leave a group of 27 cows.	There are 3 cows that join a group of 27 cows.	There are 27 groups with 3 cows each.	There are 27 cows in 3 equal groups.		What could the expression  27 ÷ 3 stand for? There are 3 cows that leave a group of 27 cows. There are 3 cows that join a group of 27 cows. There are 27 groups with 3 cows each. There are 27 cows in 3 equal groups.
91	CO	2020.0	3				0	What is the value of 537 − 368?	169	179	249	269		What is the value of 537 − 368? 169 179 249 269
122	FL	2020.0	3	Operations and Algebraic Thinking	MAFS.3.OA.1		0	Tom told Mary he planted  48 flowers in  the rectangular-shaped garden. Which sentence  could Mary use  to describe how the flowers were  planted?	Tom planted 24 rows of 24 flowers.	Tom planted 4 rows of 24 flowers.	Tom planted 40 rows of 8 flowers.	Tom planted 8 rows of 6 flowers.		Tom told Mary he planted  48 flowers in  the rectangular-shaped garden. Which sentence  could Mary use  to describe how the flowers were  planted?  Tom planted 24 rows of 24 flowers.  Tom planted 4 rows of 24 flowers.  Tom planted 40 rows of 8 flowers.  Tom planted 8 rows of 6 flowers.
123	FL	2020.0	3	Operations and Algebraic Thinking	MAFS.3.OA.2		0	An equation is shown. 4 x 9 = 9 x __ What is  the  missing value?	4	5	9	13		An equation is shown. 4 x 9 = 9 x __ What is  the  missing value?  4 5 9 13
124	FL	2020.0	3	Measurement and Data	MAFS.3.MD.4		0	Ben is planning a garden. Which measurement describes the perimeter of his garden?	the length of  fence he will need	the amount of soil he will need	the number of seeds he will buy	the length of  the garden multiplied  by the width		Ben is planning a garden. Which measurement describes the perimeter of his garden?  the length of  fence he will need the amount of soil he will need the number of seeds he will buy  the length of  the garden multiplied  by the width
125	FL	2020.0	3	Geometry	MAFS.3.G.1		0	Which shape  is always a rectangle and a quadrilateral?	rhombus	triangle	trapezoid	square		Which shape  is always a rectangle and a quadrilateral?  rhombus   triangle  trapezoid square
126	FL	2020.0	3	Measurement and Data	MAFS.3.MD.2		1	A pencil is shown. What is  the length of the pencil, in inches?	6 2/4	6 3/4	7	7 1/4		A pencil is shown. What is  the length of the pencil, in inches? 6 2/4 6 3/4 7 7 1/4
127	FL	2020.0	3	Measurement and Data	MAFS.3.MD.2		1	A pencil is shown. What is  the length of the pencil, in inches?	5	5  1/4	5 2/4	5 3/4		A pencil is shown. What is  the length of the pencil, in inches?  5  5  1/4 5 2/4 5 3/4
128	FL	2020.0	3	Measurement and Data	MAFS.3.MD.2		1	A pencil is shown. What is  the length of the pencil, in inches?	4 1/4	4 2/4	4 3/4	5		A pencil is shown. What is  the length of the pencil, in inches? 4 1/4 4 2/4 4 3/4 5
188	GA	2020.0	3	Number and Operations in Base Ten	MGSE3.NBT.1		0	There are 461 books in the library. To the nearest hundred, ABOUT how many books are in the library?	400	460	470	500		There are 461 books in the library. To the nearest hundred, ABOUT how many books are in the library? 400 460 470 500
189	GA	2020.0	3	Number and Operations in Base Ten	MGSE3.NBT.2		0	Solve. 724 + 152 = __	776	875	876	975		Solve. 724 + 152 = __ 776 875 876 975
190	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.6		0	An equation is written. 42 ÷ 6 = __ Which other equation can be used to find the quotient?	6 ×  __ = 42	42 × 6 = __	6 + __ = 42	42 – __ = 6		An equation is written. 42 ÷ 6 = __ Which other equation can be used to find the quotient?  6 ×  __ = 42 42 × 6 = __ 6 + __ = 42 42 – __ = 6
191	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.5		0	Which expression has the same value as 6 × 16?	(6 × 10) + (6 × 6)	(6 + 10) × (6 + 6)	(4 × 10) + (2 × 6)	(4 + 10) × (2 + 6)		Which expression has the same value as 6 × 16? (6 × 10) + (6 × 6) (6 + 10) × (6 + 6) (4 × 10) + (2 × 6) (4 + 10) × (2 + 6)
192	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.1		0	What is the value of 5 x 3 ?	12	15	16	20		What is the value of 5 x 3 ? 12 15 16 20
193	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.4		0	An equation is shown. 8 ×  __ = 64  What is the missing number that makes the equation true?	8	9	56	72		An equation is shown. 8 ×  __ = 64  What is the missing number that makes the equation true?  8 9 56 72
194	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.4		0	A bag of 54 marbles will be shared equally among some friends. The equation shows that each friend takes 9 marbles. 54 ÷ __  = 9 How many friends share the bag of marbles?	6	45	63	486		A bag of 54 marbles will be shared equally among some friends. The equation shows that each friend takes 9 marbles. 54 ÷ __  = 9 How many friends share the bag of marbles? 6 45 63 486
195	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.4		0	Kim suggests they each take only 6 marbles so that they can share the bag of marbles with more people. How many people can now share the bag of 54 marbles?	9	48	60	324		Kim suggests they each take only 6 marbles so that they can share the bag of marbles with more people. How many people can now share the bag of 54 marbles? 9 48 60 324
196	GA	2020.0	3	Operations and Algebraic Thinking	MGSE3.OA.8		0	Pam had 3 bags of marbles. There were 6 marbles in each bag. Pam gave 5 marbles to her friend. How many marbles did Pam have left?	13	14	18	23		Pam had 3 bags of marbles. There were 6 marbles in each bag. Pam gave 5 marbles to her friend. How many marbles did Pam have left? 13 14 18 23
197	GA	2020.0	3	Geometry	MGSE3.G.1		0	Which one of these quadrilaterals ALWAYS has four sides of equal length?	rectangle	square	trapezoid	parallelogram		Which one of these quadrilaterals ALWAYS has four sides of equal length?  rectangle square trapezoid parallelogram
198	GA	2020.0	3	Geometry	MGSE3.G.2		0	A rectangular board has an area of 1 square foot. Sam cuts the board into 4 parts that have equal areas. He uses one part to make a birdhouse.  What is the area of the part that Sam uses?	1/4 square  foot	3/4 square foot	1 1/4 square feet	4/1 square feet		A rectangular board has an area of 1 square foot. Sam cuts the board into 4 parts that have equal areas. He uses one part to make a birdhouse.  What is the area of the part that Sam uses? 1/4 square  foot 3/4 square foot 1 1/4 square feet 4/1 square feet
199	GA	2020.0	3	Measurement and Data	MGSE3.MD.8		0	A city plans to build a new rectangular-shaped park. The perimeter of the park will be 940 meters. The width of the park will be 300 meters.  (Perimeter = Length + Width + Length + Width) What will be the length, in meters, of the new park?	170	340	600	640		A city plans to build a new rectangular-shaped park. The perimeter of the park will be 940 meters. The width of the park will be 300 meters.  (Perimeter = Length + Width + Length + Width) What will be the length, in meters, of the new park? 170 340 600 640
200	GA	2020.0	3	Measurement and Data	MGSE3.MD.8		0	The old city park is rectangular. It has a length of 350 meters. It has a width of 125 meters. What is the perimeter, in meters, of the old city park?	250	475	700	950		The old city park is rectangular. It has a length of 350 meters. It has a width of 125 meters. What is the perimeter, in meters, of the old city park? 250 475 700 950
201	GA	2020.0	3	Measurement and Data	MGSE3.MD.2		0	Which of these is the BEST estimate for the amount of water needed to fill a bathtub?	2 liters	20 liters	200 liters	2,000 liters		Which of these is the BEST estimate for the amount of water needed to fill a bathtub? 2 liters 20 liters 200 liters 2,000 liters
202	GA	2020.0	3	Measurement and Data	MGSE3.MD.6		1	The diagram represents the floor of a rectangular garage. What is the TOTAL area of the floor?	8 square meters	15 square meters	16 square meters	20 square meters		The diagram represents the floor of a rectangular garage. What is the TOTAL area of the floor? 8 square meters 15 square meters 16 square meters 20 square meters
203	GA	2020.0	3	Measurement and Data	MGSE3.MD.7		1	A wall is covered in square tiles as shown in the diagram. Which expression shows how to find the area of this wall?	4 + 5	5 x 5	5 x 4	4 + 5 + 4 + 5		A wall is covered in square tiles as shown in the diagram. Which expression shows how to find the area of this wall? 4 + 5 5 x 5 5 x 4 4 + 5 + 4 + 5
204	GA	2020.0	3	Number and Operations - Fractions	MGSE3.NF.1		1	A circle is partitioned into equal parts. Which fraction represents the SHADED part of this circle?	1 / 3	2 / 3	2 / 4	1 / 4		A circle is partitioned into equal parts. Which fraction represents the SHADED part of this circle?  1 / 3  2 / 3  2 / 4  1 / 4
205	GA	2020.0	3	Measurement and Data	MGSE3.MD.1		1	The time Sara’s swim lesson starts and the time it ends are shown.   How long is her swim lesson?	30 minutes	45 minutes	60 minutes	90 minutes		The time Sara’s swim lesson starts and the time it ends are shown.   How long is her swim lesson? 30 minutes 45 minutes 60 minutes 90 minutes
206	GA	2020.0	3	Measurement and Data	MGSE3.MD.4		1	Look at this pencil and ruler. What is the length of the pencil to the nearest quarter inch?	2 inches	2 1/4  inches	2  1/2  inches	2  3/4    inches		Look at this pencil and ruler. What is the length of the pencil to the nearest quarter inch?  2 inches 2 1/4  inches 2  1/2  inches 2  3/4    inches
298	IA		3	Number and Operations in Base Ten	3.NBT.A.1		0	On Saturday, 386 people went to the school play. Rounded to the nearest ten, how many people went to the play?	300	380	390	400		On Saturday, 386 people went to the school play. Rounded to the nearest ten, how many people went to the play? 300 380 390 400
299	IA		3	Number and Operations - Fractions	3.NF.A.1		0	Jamie cut a ribbon into 3 equal pieces. She tied 1 piece to a balloon. What fraction of the ribbon did Jamie tie to the balloon?	3	2 / 3	1 / 2	1 / 3		Jamie cut a ribbon into 3 equal pieces. She tied 1 piece to a balloon. What fraction of the ribbon did Jamie tie to the balloon? 3  2 / 3  1 / 2  1 / 3
300	IA		3	Geometry	3.G.A.1		0	How many sides does a rhombus have?	3	4	5	6		How many sides does a rhombus have? 3 4 5 6
301	IA		3	Number and Operations in Base Ten	3.NBT.A.3		0	How many tens are there in 90?	1	9	90	900		How many tens are there in 90? 1 9 90 900
302	IA		3	Measurement and Data	3.MD.A.2		0	Aiden drank 64 ounces of water on Saturday and 87 ounces of water on Sunday. How many ounces of water did he drink altogether?	141	147	151	154		Aiden drank 64 ounces of water on Saturday and 87 ounces of water on Sunday. How many ounces of water did he drink altogether? 141 147 151 154
303	IA		3	Operations and Algebraic Thinking	3.OA.A.2		0	In a soccer league, each team will have 12 players. How many teams are needed for 96 players?	12 + 96	12 ÷ 96	96 - 12	96 ÷ 12		In a soccer league, each team will have 12 players. How many teams are needed for 96 players? 12 + 96  12 ÷ 96 96 - 12 96 ÷ 12
304	IA		3	Number and Operations in Base Ten	3.NBT.A.1		0	Each ticket to the zoo costs $9. There were 152 people who bought tickets to the zoo. Which expression best estimates the total cost, in dollars, of all the tickets people bought to the zoo?	$5 x 150	$10 x 100	$10 x 150	$10 x 200		Each ticket to the zoo costs $9. There were 152 people who bought tickets to the zoo. Which expression best estimates the total cost, in dollars, of all the tickets people bought to the zoo? $5 x 150 $10 x 100 $10 x 150 $10 x 200
305	IA		3	Number and Operations - Fractions	3.NF.A.3		0	Which fraction is equal to 1?	1 / 8	1 / 2	8 / 8	8 / 1		Which fraction is equal to 1?  1 / 8  1 / 2   8 / 8    8 / 1
306	IA		3	Measurement and Data	3.MD.C.5		0	A square unit can be used to measure the ___.	length of string	mass of a basketball	volume of a box	area of a floor		A square unit can be used to measure the ___. length of string mass of a basketball volume of a box area of a floor
307	IA		3	Operations and Algebraic Thinking	3.OA.D.8		0	Aaron is planting flowers. He will plant a total of 16 flowers. He has already planted 7 of the flowers. Each flower takes him 6 minutes to plant. How many minutes will it take him to plant the rest of the flowers?	29	42	54	56		Aaron is planting flowers. He will plant a total of 16 flowers. He has already planted 7 of the flowers. Each flower takes him 6 minutes to plant. How many minutes will it take him to plant the rest of the flowers? 29 42 54 56
308	IA		3	Operations and Algebraic Thinking	3.OA.A.3		0	Rico's board game club held 3 days of checkers matches. Rico played 15 games each day. How many games did he play?	5	12	18	45		Rico's board game club held 3 days of checkers matches. Rico played 15 games each day. How many games did he play? 5 12 18 45
309	IA		3	Operations and Algebraic Thinking	3.OA.B.6		0	In which pair of equations is r the same number?	r x 9 = 27 and 9 / r = 27	r x 9 = 27 and 27 / 9 = r	r x 9 = 27 and r / 9 = 27	r x 9 = 27 and r / 27 = 9		In which pair of equations is r the same number? r x 9 = 27 and 9 / r = 27 r x 9 = 27 and 27 / 9 = r  r x 9 = 27 and r / 9 = 27 r x 9 = 27 and r / 27 = 9
310	IA		3	Measurement and Data	3.MD.C.6		1	How many square units are shaded in the figure below?	8	12	14	16		How many square units are shaded in the figure below? 8 12 14 16
311	IA		3	Operations and Algebraic Thinking	3.OA.D.9		1	What number should replace the square in the number pattern below?	47	52	57	62		What number should replace the square in the number pattern below? 47 52 57 62
312	IA		3	Measurement and Data	3.MD.D.8		1	What is the perimeter of the shape below?	74	80	90	100		What is the perimeter of the shape below? 74 80 90 100
313	IA		3	Geometry	3.G.A.2		1	What fraction of the figure below is shaded?	1 / 8	1 / 6	1 / 4	1 / 3		What fraction of the figure below is shaded?  1 / 8   1 / 6  1 / 4  1 / 3
314	IA		3	Measurement and Data	3.MD.A.1		1	The clocks below show the time a plane takes off and the time  the plane lands. How long was the plane in the air?	1 hour 21 minutes	1 hour 41 minutes	2 hours 21 minutes	2 hours 41 minutes		The clocks below show the time a plane takes off and the time  the plane lands. How long was the plane in the air? 1 hour 21 minutes 1 hour 41 minutes 2 hours 21 minutes 2 hours 41 minutes
315	IA		3	Number and Operations - Fractions	3.NF.A.2		1	Which number represents the location of the * on the number line below?	1    2 / 3	1  3 / 4	2	2   1 / 3		Which number represents the location of the * on the number line below? 1    2 / 3 1  3 / 4 2 2   1 / 3
316	IA		3	Operations and Algebraic Thinking	3.OA.A.1		1	What number should replace the square in 3 + 3 + 3 + 3 = square x 3?	3	4	5	6		What number should replace the square in 3 + 3 + 3 + 3 = square x 3? 3 4 5 6
317	IA		3	Geometry	3.G.A.2		1	Alexis started dividing the rectangle below into unit squares. The rectange is 2 units wide and 4 units long. One of the unit squares is shaded. What fraction of the whole rectangle is the shaded unit square?	1 / 2	1 / 4	1 / 6	1 / 8		Alexis started dividing the rectangle below into unit squares. The rectange is 2 units wide and 4 units long. One of the unit squares is shaded. What fraction of the whole rectangle is the shaded unit square?  1 / 2  1 / 4  1 / 6  1 / 8
318	IA		3	Measurement and Data	3.MD.B.3		1	The color of each marble in Sophie's collection is recorded in the table below. How many more green marbles are there than yellow marbles?	4	6	16	20		The color of each marble in Sophie's collection is recorded in the table below. How many more green marbles are there than yellow marbles? 4 6 16 20
319	IA		3	Operations and Algebraic Thinking	3.OA.A.4		1	"The number machine below divided each number in the ""In"" column by 7 and put the answer in the ""Out"" column. What number should go in the square?"	42	49	56	63		"The number machine below divided each number in the ""In"" column by 7 and put the answer in the ""Out"" column. What number should go in the square? 42 49 56 63 "
320	IA		3	Operations and Algebraic Thinking	3.OA.B.5		1	Lillian planted one seed in each section of the planters shown below. What is the total number of seeds Lillian planted?	8 x 9	8 x 7 x 2	8 x 8 x 9	8 + 7 + 8 + 2		Lillian planted one seed in each section of the planters shown below. What is the total number of seeds Lillian planted? 8 x 9  8 x 7 x 2 8 x 8 x 9 8 + 7 + 8 + 2
321	IA		3	Measurement and Data	3.MD.B.4		1	Cora measured a key using the ruler shown below. How many inches long is the key?	1    1 / 2	2    1 / 4	2    1 / 2	3   1 / 2		Cora measured a key using the ruler shown below. How many inches long is the key? 1    1 / 2 2    1 / 4 2    1 / 2 3   1 / 2
322	IA		3	Operations and Algebraic Thinking	3.OA.B.5		1	Alberto needs to determine the value of the square in the number sentence below. He will start by multiplying 4 x 2. Then he should multiply ____ to determine the value of the square.	8 x 2	8 x 4	8 x 8	32 x 8		Alberto needs to determine the value of the square in the number sentence below. He will start by multiplying 4 x 2. Then he should multiply ____ to determine the value of the square. 8 x 2  8 x 4 8 x 8  32 x 8
323	IA		3	Number and Operations in Base Ten	3.NBT.A.2		1	Eli wants to know how many tickets were sold altogether for the two games on Saturday. First, Eli will round the numbers to the nearest hundred. Then which method could Eli use to figure out the total number of tickets sold?	Add 200 + 8 and 100 + 4	Add 200 - 8 and 100 - 4	Add 300 + 8 and 200 + 4	Add 300 - 8 and 200 -4		Eli wants to know how many tickets were sold altogether for the two games on Saturday. First, Eli will round the numbers to the nearest hundred. Then which method could Eli use to figure out the total number of tickets sold? Add 200 + 8 and 100 + 4 Add 200 - 8 and 100 - 4 Add 300 + 8 and 200 + 4 Add 300 - 8 and 200 -4
324	IA		3	Measurement and Data	3.MD.C.7		1	What is the area, in square units, of the shape below?	32	48	60	66		What is the area, in square units, of the shape below? 32 48 60 66
564	IL	2016.0	3		3.NBT.A.1		0	The snack booth at a baseball game sold this many drinks: • 128 on Wednesday • 254 on Thursday • 391 on Friday  What was the total number of drinks sold, rounded to the nearest hundred?	600	700	800	900		The snack booth at a baseball game sold this many drinks: • 128 on Wednesday • 254 on Thursday • 391 on Friday  What was the total number of drinks sold, rounded to the nearest hundred? 600 700 800 900
565	IL	2016.0	3	Number and Operations in Base Ten	3.NBT.A.2		0	The snack booth at a baseball game sold this many drinks:  • 128 on Wednesday • 254 on Thursday • 391 on Friday  What was the total number of drinks sold, rounded to the nearest hundred?	600	700	800	900		The snack booth at a baseball game sold this many drinks:  • 128 on Wednesday • 254 on Thursday • 391 on Friday  What was the total number of drinks sold, rounded to the nearest hundred? 600 700 800 900
566	IL	2016.0	3	Number and Operations in Base Ten	3.NBT.A.2		0	What is the value of  518 − 426 ?	82	92	112	192		What is the value of  518 − 426 ? 82 92 112 192
567	IL	2016.0	3		3.NF.A.3.c		0	Which fraction is equivalent to the number 4?	1 / 4	1 / 1	4 / 4	4 / 1		Which fraction is equivalent to the number 4? 1 / 4 1 / 1 4 / 4 4 / 1
568	IL	2016.0	3	Operations and Algebraic Thinking	3.OA.A.2		0	Which number of stickers could be found using  24 ÷ 4 ?	The number of stickers left when 4 of the 24 stickers are given away.	The total number of stickers in a book with 24 pages when 4 stickers are placed on each page.	The total number of stickers on a page with 24 stickers and 4 more stickers are added to the page.	The number of stickers in each row when a total of 24 stickers are equally placed into 4 rows on a page.		Which number of stickers could be found using  24 ÷ 4 ?  The number of stickers left when 4 of the 24 stickers are given away. The total number of stickers in a book with 24 pages when 4 stickers are placed on each page. The total number of stickers on a page with 24 stickers and 4 more stickers are added to the page. The number of stickers in each row when a total of 24 stickers are equally placed into 4 rows on a page.
569	IL	2016.0	3	Operations and Algebraic Thinking	3.OA.A.4		0	Mr. Lopez has a 72-inch-long piece of fabric. He cuts the fabric into pieces that are each 8 inches long. How many 8-inch-long pieces of fabric does Mr. Lopez have?	8 ÷ 8 = 72	8 ÷ 72 = 9	72 ÷ 8 = 9	72 ÷ 8 = 8		Mr. Lopez has a 72-inch-long piece of fabric. He cuts the fabric into pieces that are each 8 inches long. How many 8-inch-long pieces of fabric does Mr. Lopez have? 8 ÷ 8 = 72 8 ÷ 72 = 9 72 ÷ 8 = 9 72 ÷ 8 = 8
570	IL	2016.0	3		3.GA.1		1	The three shapes below belong to a group. All shapes in the group have exactly 4 sides and exactly 4 angles. Which of the following shapes belong in the group?	a triangle	a trapezoid	a pentagon	a hexagon		The three shapes below belong to a group. All shapes in the group have exactly 4 sides and exactly 4 angles. Which of the following shapes belong in the group? a triangle a trapezoid a pentagon a hexagon
571	IL	2016.0	3		3.MD.A.2		1	Which is the best estimate of the amount of water in the bucket?	4 liters	3 liters	2 liters	1 liter		Which is the best estimate of the amount of water in the bucket? 4 liters 3 liters 2 liters 1 liter
572	IL	2016.0	3		3.MD.B.3		1	Each student in Mr. Hawke’s class gave one vote for his or her favorite type of zoo animal. The graph shows the results.   What is the total number of students in Mr. Hawke’s class?	10	24	26	50		Each student in Mr. Hawke’s class gave one vote for his or her favorite type of zoo animal. The graph shows the results.   What is the total number of students in Mr. Hawke’s class? 10 24 26 50
573	IL	2016.0	3		3.NF.A.3.a		1	The number line shows a point at  2/3. Which fraction is equal to 2/3 ?	1 / 2	3 / 4	4 / 6	5 / 6		The number line shows a point at  2/3. Which fraction is equal to 2/3 ? 1 / 2 3 / 4 4 / 6 5 / 6
630	IL	2017.0	3	Operations and Algebraic Thinking	3.OA.A.1		0	Which can be represented by the expression  6 × 3  ?	Henry draws 6 stars. He erases 3 stars.	Jen draws 6 sets of stars. Then she draws 3 more stars.	Nina draws 6 rows of stars. She draws 3 stars in each row.	Barry draws 6 stars. Then he circles 3 equal groups of stars.		Which can be represented by the expression  6 × 3  ? Henry draws 6 stars. He erases 3 stars. Jen draws 6 sets of stars. Then she draws 3 more stars. Nina draws 6 rows of stars. She draws 3 stars in each row. Barry draws 6 stars. Then he circles 3 equal groups of stars.
631	IL	2017.0	3	Operations and Algebraic Thinking	3.OA.A.2		0	Emma put stickers on her books. She had 8 books. She had 72 stickers. She put the same number of stickers on each book. Which expression shows how to find the number of stickers she put on each book?	72 + 8	72 - 8	72 x 8	72 ÷ 8		Emma put stickers on her books. She had 8 books. She had 72 stickers. She put the same number of stickers on each book. Which expression shows how to find the number of stickers she put on each book? 72 + 8 72 - 8 72 x 8 72 ÷ 8
632	IL	2017.0	3		3.G.A.1		1	Which definition can be applied to this group of three shapes?	quadrilaterals: shapes with 3 angles	quadrilaterals: shapes with 4 sides	triangles: shapes with 3 angles	triangles: shapes with 4 sides		Which definition can be applied to this group of three shapes? quadrilaterals: shapes with 3 angles quadrilaterals: shapes with 4 sides triangles: shapes with 3 angles triangles: shapes with 4 sides
633	IL	2017.0	3		3.MD.A.1		1	What time is shown on the clock?	11:09:00	11:11:00	11:14:00	11:16:00		What time is shown on the clock? 0.464583333333333 0.465972222222222 0.468055555555556 0.469444444444444
634	IL	2017.0	3		3.MD.A.2		1	Jay needs 740 milliliters (ml) of honey to make banana bread. He has 290 ml. How many more milliliters of honey does Jay need?	300 ml	450 ml	550 ml	750 ml		Jay needs 740 milliliters (ml) of honey to make banana bread. He has 290 ml. How many more milliliters of honey does Jay need? 300 ml 450 ml 550 ml 750 ml
635	IL	2017.0	3		3.MD.A.2		1	Mr. Smith, the principal, placed a bag of oranges on the scale as shown. Mr. Smith bought 60 bags of oranges for a school event. How many kilograms of oranges did he buy?	2 kilograms	62 kilograms	80 kilograms	120 kilograms		Mr. Smith, the principal, placed a bag of oranges on the scale as shown. Mr. Smith bought 60 bags of oranges for a school event. How many kilograms of oranges did he buy? 2 kilograms 62 kilograms 80 kilograms 120 kilograms
636	IL	2017.0	3		3.MD.A.2		1	Mr. Smith bought 500 liters of juice for the event. After the event they had 29 liters of juice left over. How many liters of juice did they use at the event?	471 liters	481 liters	571 liters	581 liters		Mr. Smith bought 500 liters of juice for the event. After the event they had 29 liters of juice left over. How many liters of juice did they use at the event? 471 liters 481 liters 571 liters  581 liters
637	IL	2017.0	3		3.MD.B.4		1	Brandi measures the length of a lizard as shown. What is the length of the lizard?	3   1 / 4 inches	3   1 / 2 inches	3    3 / 4 inches	4 inches		Brandi measures the length of a lizard as shown. What is the length of the lizard? 3   1 / 4 inches 3   1 / 2 inches 3    3 / 4 inches 4 inches
638	IL	2017.0	3		3.MD.C.7.b		1	Figure 1 is a rectangle with two sides covered in tiles. Which equation shows a way to find the area of Figure 1?	5 x 6 = 30	5 x 7 = 35	6 x 6 = 36	6 x 7 = 42		Figure 1 is a rectangle with two sides covered in tiles. Which equation shows a way to find the area of Figure 1? 5 x 6 = 30 5 x 7 = 35 6 x 6 = 36 6 x 7 = 42
686	IL	2018.0	3	Operations and Algebraic Thinking	3.OA.A.3		0	A softball field has 8 benches on which the players can sit. Each bench can seat 9 players. What is the greatest number of players who can sit on all of the benches at one time?	17	72	80	81		A softball field has 8 benches on which the players can sit. Each bench can seat 9 players. What is the greatest number of players who can sit on all of the benches at one time? 17 72 80 81
