	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
55	AK		7				0	Molly bought 2.4 pounds of mixed nuts for $19.57. What is the price per pound of mixed nuts?	0.12	8.15	46.97	17.17		Molly bought 2.4 pounds of mixed nuts for $19.57. What is the price per pound of mixed nuts? 0.12 8.15 46.97 17.17
56	AK		7				0	Alex had an income of $7,000. He got 9% of his income from tips. How much of his income was not from tips?	630	700	6300	6370		Alex had an income of $7,000. He got 9% of his income from tips. How much of his income was not from tips? 630 700 6300 6370
84	AR	2017.0	7	The Number System	7.NS.A		0	Given that x = 1/4, y = 0.8, and z = -2, what is the value of the expression 5z - 9y + 12 - 3x?	-29.95	-5.95	0.05	12.05	14.05	Given that x = 1/4, y = 0.8, and z = -2, what is the value of the expression 5z - 9y + 12 - 3x? -29.95 -5.95 0.05 12.05 14.05
110	CO	2020.0	7				0	A student spent $18 for a haircut this week. Which event, when combined with the student spending $18, will result in the student having $0 remaining?	The student earned $18 for cleaning out his neighbor’s garage.	The student paid his little brother $18 for doing his chores.	The student purchased a gift for his mom for $18.	The student gave $18 to a friend.		A student spent $18 for a haircut this week. Which event, when combined with the student spending $18, will result in the student having $0 remaining? The student earned $18 for cleaning out his neighbor’s garage. The student paid his little brother $18 for doing his chores. The student purchased a gift for his mom for $18. The student gave $18 to a friend.
111	CO	2020.0	7				0	A person paid a total of $38.50, before tax, for flowers and dirt at a store. The price of the flowers was $4.50 per container. The price of the dirt was $7.00 per bag. If the customer bought one bag of dirt, how many containers of flowers did the customer buy?	5	7	9	10		A person paid a total of $38.50, before tax, for flowers and dirt at a store. The price of the flowers was $4.50 per container. The price of the dirt was $7.00 per bag. If the customer bought one bag of dirt, how many containers of flowers did the customer buy? 5 7 9 10
112	CO	2020.0	7				0	A person can play 1/6  of a song in  1/3 of a minute. How many minutes does it take the person to play the whole song once at this rate?	3	2	2 / 3	1 / 2		A person can play 1/6  of a song in  1/3 of a minute. How many minutes does it take the person to play the whole song once at this rate? 3 2  2 / 3  1 / 2
113	CO	2020.0	7				0	A teacher has an equal number of pink, blue, green, yellow, and purple erasers in a box. She will randomly distribute 1 eraser from the box to each student. What is the probability that the first eraser that will be distributed is a color other than yellow?	1 / 5	1 / 4	3 / 4	4 / 5		A teacher has an equal number of pink, blue, green, yellow, and purple erasers in a box. She will randomly distribute 1 eraser from the box to each student. What is the probability that the first eraser that will be distributed is a color other than yellow?  1 / 5  1 / 4  3 / 4  4 / 5
114	CO	2020.0	7				1	The graph represents the amount of water, in gallons, y, that flows through a garden hose in x minutes. Which statement correctly describes the meaning of the point shown on this graph?	Every 6 minutes, 72 gallons of water flow through the hose.	Every 72 minutes, 6 gallons of water flow through the hose.	Every 6 minutes, 12 gallons of water flow through the hose.	Every 12 minutes, 6 gallons of water flow through the hose.		The graph represents the amount of water, in gallons, y, that flows through a garden hose in x minutes. Which statement correctly describes the meaning of the point shown on this graph? Every 6 minutes, 72 gallons of water flow through the hose.  Every 72 minutes, 6 gallons of water flow through the hose.  Every 6 minutes, 12 gallons of water flow through the hose. Every 12 minutes, 6 gallons of water flow through the hose.
115	CO	2020.0	7				1	A reporter from the school paper asks a random sample of students about their favorite school food. The results are shown in the table. There are 441 students in total at the school. Based on the sample, approximately how many students in the entire school population prefer spaghetti as their favorite school food?	12	63	84	105		A reporter from the school paper asks a random sample of students about their favorite school food. The results are shown in the table. There are 441 students in total at the school. Based on the sample, approximately how many students in the entire school population prefer spaghetti as their favorite school food? 12 63 84 105
116	CO	2020.0	7				1	Based on the sample, which inference can be made?	The number of students who like spaghetti is approximately the same as the number who like hamburgers.	A small number of students bring their own lunch to school.	Most students eat salad or pizza every day.	Almost the whole school prefers pizza.		Based on the sample, which inference can be made? The number of students who like spaghetti is approximately the same as the number who like hamburgers. A small number of students bring their own lunch to school.  Most students eat salad or pizza every day. Almost the whole school prefers pizza.
117	CO	2020.0	7				1	A circle is inscribed on a square piece of paper. The radius of the circle is 5 centimeters. The circle is cut out and removed from the square. How much paper, in square centimeters, remains after the circle is removed?	25π -  10	10π - 25	100 - (10 π)	100 - (25  π)		A circle is inscribed on a square piece of paper. The radius of the circle is 5 centimeters. The circle is cut out and removed from the square. How much paper, in square centimeters, remains after the circle is removed? 25π -  10 10π - 25 100 - (10 π) 100 - (25  π)
173	FL	2020.0	7	Ratios and Proportional Relationships	MAFS.7.RP.1.1		0	A recipe  used 2/3 cup of sugar for every 2  teaspoons of vanilla. How  much sugar was used  per  teaspoon of vanilla?	1 / 3	1   1 / 3	2    2 / 3	3		A recipe  used 2/3 cup of sugar for every 2  teaspoons of vanilla. How  much sugar was used  per  teaspoon of vanilla?   1 / 3 1   1 / 3 2    2 / 3 3
174	FL	2020.0	7	Ratios and Proportional Relationships	MAFS.7.RP.1.1		0	A recipe calls for 2/3 cup of sugar for every 4 teaspoons of vanilla. How much vanilla should be used for every 1 cup of sugar?	1 / 6	2    2 / 3	4    2 / 3	6		A recipe calls for 2/3 cup of sugar for every 4 teaspoons of vanilla. How much vanilla should be used for every 1 cup of sugar?   1 / 6 2    2 / 3 4    2 / 3 6
175	FL	2020.0	7	Ratios and Proportional Relationships	MAFS.7.RP.1.2b		0	Ethan ran 11 miles in 2 hours. What is the constant of proportionality of miles to hour?	5.5 miles per hour	0. 181818 miles per hour	5.5  hours per  mile	0. 181818 hours per mile		Ethan ran 11 miles in 2 hours. What is the constant of proportionality of miles to hour?  5.5 miles per hour  0. 181818 miles per hour 5.5  hours per  mile  0. 181818 hours per mile
176	FL	2020.0	7	Expressions and Equations	MAFS.7.EE.1.2		0	The expression shown represents the total amount that Jen spent on buying two of the same sweaters during a sale.  1.75𝑥 Which  equivalent  expression  reveals the discount  Jen received on one for buying  two?	2𝑥 − 0.25𝑥	0.25𝑥− 2𝑥	2(𝑥 − 0.25𝑥 )	2𝑥 −(2𝑥 − 0.25𝑥)		The expression shown represents the total amount that Jen spent on buying two of the same sweaters during a sale.  1.75𝑥 Which  equivalent  expression  reveals the discount  Jen received on one for buying  two?   2𝑥 − 0.25𝑥 0.25𝑥− 2𝑥 2(𝑥 − 0.25𝑥 )   2𝑥 −(2𝑥 − 0.25𝑥)
177	FL	2020.0	7	Statistics and Probability	MAFS.7.SP.1.1		0	A middle school has  • 220 students in grade 6;  • 170 students in grade 7; and  • 100 students  in grade 8. The media specialist wants to know which books are the most popular among the students in her school. Since she cannot ask all the students, she will survey a group of them.  Which sample can best help the media specialist draw conclusions about the preferences of all the students in the school?	45 sixth graders, 35 seventh graders, 20 eighth graders	20 sixth graders, 35 seventh graders, 45 eighth graders	45 sixth graders, 45 seventh graders, 45 eighth graders	20 sixth graders, 20 seventh graders, 20 eighth graders		A middle school has  • 220 students in grade 6;  • 170 students in grade 7; and  • 100 students  in grade 8. The media specialist wants to know which books are the most popular among the students in her school. Since she cannot ask all the students, she will survey a group of them.  Which sample can best help the media specialist draw conclusions about the preferences of all the students in the school?  45 sixth graders, 35 seventh graders, 20 eighth graders  20 sixth graders, 35 seventh graders, 45 eighth graders 45 sixth graders, 45 seventh graders, 45 eighth graders  20 sixth graders, 20 seventh graders, 20 eighth graders
178	FL	2020.0	7	Statistics and Probability	MAFS.7.SP.3.5		0	The local weather report stated there is a 2/3 chance of rain on Friday.  How likely is it to rain?	certain	likely	unlikely	impossible		The local weather report stated there is a 2/3 chance of rain on Friday.  How likely is it to rain?  certain likely unlikely impossible
179	FL	2020.0	7	The Number System	MAFS.7.NS.1.1b		1	A number line is shown.  Jack knows  that a  + b  =  0.  Which statement is true?	𝑎 = 𝑏	– 𝑏 = 𝑎	𝑎−𝑏 = 0	𝑏 − 𝑎 = 0		A number line is shown.  Jack knows  that a  + b  =  0.  Which statement is true?  𝑎 = 𝑏 – 𝑏 = 𝑎 𝑎−𝑏 = 0  𝑏 − 𝑎 = 0
259	GA	2020.0	7	The Number System	MGSE7.NS.2a		0	What is the value of 4.2(46 – 65)?	-798	-79.8	79.8	798		What is the value of 4.2(46 – 65)? -798 -79.8 79.8 798
260	GA	2020.0	7	The Number System	MGSE7.NS.2a		0	What is the product?    –8(7 – 3.2)	-59.2	-30.4	30.4	52.8		What is the product?    –8(7 – 3.2) -59.2 -30.4 30.4 52.8
261	GA	2020.0	7	The Number System	MGSE7.NS.3		0	During one week, Sheila made several changes to her bank account.  She made four withdrawals of $40 each from an ATM.   She also used her check card for a $156 purchase.   Then she deposited her paycheck of $375. By how much did the amount in her bank account change during that week?	$59 increase	$59 decrease	$691 increase	$691 decrease		During one week, Sheila made several changes to her bank account.  She made four withdrawals of $40 each from an ATM.   She also used her check card for a $156 purchase.   Then she deposited her paycheck of $375. By how much did the amount in her bank account change during that week? $59 increase $59 decrease $691 increase $691 decrease
262	GA	2020.0	7	Expressions and Equations	MGSE7.EE.1		0	Which expression is equivalent to       –7(y – 2)?	–7y – 2	–7y + 2	–7y – 14	–7y + 14		Which expression is equivalent to       –7(y – 2)? –7y – 2 –7y + 2 –7y – 14 –7y + 14
263	GA	2020.0	7	Expressions and Equations	MGSE7.EE.4a		0	A furniture store sells kits that customers use to build cabinets. Each kit contains 18 screws and a set number of boards.   Jarred buys 6 of these kits and has a total of 192 screws and boards.  The equation shown represents this situation.        6(x + 18) = 192  What does the variable x represent in Jarred’s equation?	the number of screws in one kit	the number of screws in all 6 kits	the number of boards in one kit	the number of boards in all 6 kits		A furniture store sells kits that customers use to build cabinets. Each kit contains 18 screws and a set number of boards.   Jarred buys 6 of these kits and has a total of 192 screws and boards.  The equation shown represents this situation.        6(x + 18) = 192  What does the variable x represent in Jarred’s equation? the number of screws in one kit the number of screws in all 6 kits the number of boards in one kit the number of boards in all 6 kits
264	GA	2020.0	7	Expressions and Equations	MGSE7.EE.4a		0	What is the value of x in Jarred’s equation?	11	14	29	35		What is the value of x in Jarred’s equation? 11 14 29 35
265	GA	2020.0	7	Expressions and Equations	MGSE7.EE.4a		0	The sum of a number, n, and 8 is multiplied by –4, and the result is –12 .     What is the number?	n = –5	n = 1	n = 5	n = 11		The sum of a number, n, and 8 is multiplied by –4, and the result is –12 .     What is the number? n = –5 n = 1 n = 5 n = 11
266	GA	2020.0	7	Ratios and Proportional Relationships	MGSE7.RP.3		0	The average rate of hair growth is 2.5 centimeters every 2 months. At that rate, how many months will it take to grow 22.5 centimeters of hair?	9 months	11 1/4 months	18 months	28 1/8 months		The average rate of hair growth is 2.5 centimeters every 2 months. At that rate, how many months will it take to grow 22.5 centimeters of hair?  9 months 11 1/4 months 18 months 28 1/8 months
267	GA	2020.0	7	Ratios and Proportional Relationships	MGSE7.RP.3		0	During cooking, chicken loses 10% of its weight due to water loss. In order to obtain 1,170 grams of cooked chicken, how many grams of uncooked chicken must be used?	1,053 grams	1,287 grams	1,300 grams	1,340 grams		During cooking, chicken loses 10% of its weight due to water loss. In order to obtain 1,170 grams of cooked chicken, how many grams of uncooked chicken must be used? 1,053 grams  1,287 grams 1,300 grams 1,340 grams
268	GA	2020.0	7	Geometry	MGSE7.G.1		0	A satellite is 18 meters wide. A model of it was built with a scale of 1 centimeter : 3 meters. How wide is the model?	6 meters	6 centimeters	54 meters	54 centimeters		A satellite is 18 meters wide. A model of it was built with a scale of 1 centimeter : 3 meters. How wide is the model? 6 meters 6 centimeters 54 meters 54 centimeters
269	GA	2020.0	7	Geometry	MGSE7.G.4		0	A bicycle training wheel has a radius of 3 inches.  The bicycle wheel has a radius of 10 inches.  Approximately how much smaller, in square inches and rounded to the nearest hundredth, is the area of the training wheel than the area of the regular wheel?	21.98	153.86	285.74	1142.96		A bicycle training wheel has a radius of 3 inches.  The bicycle wheel has a radius of 10 inches.  Approximately how much smaller, in square inches and rounded to the nearest hundredth, is the area of the training wheel than the area of the regular wheel? 21.98 153.86 285.74 1142.96
270	GA	2020.0	7	Statistics and Probability	MGSE7.SP.1		0	A gym teacher at Jackson High School wants the school to have a new team sport: soccer, lacrosse, or rugby.  She will take a survey to determine which of those sports most students prefer.  Which population would provide a random sampling for the gym teacher to use?	all students at the school who are sixteen years old	all students who buy lunch at the school on Friday	half of the students who play on team sports at the school	every third student arriving at school		A gym teacher at Jackson High School wants the school to have a new team sport: soccer, lacrosse, or rugby.  She will take a survey to determine which of those sports most students prefer.  Which population would provide a random sampling for the gym teacher to use?  all students at the school who are sixteen years old all students who buy lunch at the school on Friday half of the students who play on team sports at the school every third student arriving at school
271	GA	2020.0	7	Statistics and Probability	MGSE7.SP.5		0	A bag contains 14 blue marbles and 14 purple marbles. What is the likelihood of randomly drawing a purple marble?	certain	likely	neither unlikely nor likely	not likely		A bag contains 14 blue marbles and 14 purple marbles. What is the likelihood of randomly drawing a purple marble? certain likely neither unlikely nor likely not likely
272	GA	2020.0	7	Statistics and Probability	MGSE7.SP.6		0	A number cube with faces numbered 1 to 6 is rolled 15 times. In theory, how many times would you expect to roll a number less than 5?	2.5	5	10	12.5		A number cube with faces numbered 1 to 6 is rolled 15 times. In theory, how many times would you expect to roll a number less than 5?  2.5 5 10 12.5
273	GA	2020.0	7	Statistics and Probability	MGSE7.SP.8a		0	The six sides of a number cube are labeled 1, 2, 3, 4, 5, and 6. You flip a coin and roll the number cube.  In theory, what is the probability that the coin lands on heads and you roll a number greater than 4?	1 / 12	1 / 6	1 / 3	1 / 2		The six sides of a number cube are labeled 1, 2, 3, 4, 5, and 6. You flip a coin and roll the number cube.  In theory, what is the probability that the coin lands on heads and you roll a number greater than 4?   1 / 12  1 / 6  1 / 3  1 / 2
274	GA	2020.0	7	Statistics and Probability	MGSE7.SP.6		0	A cube numbered from 1 through 6 is rolled 300 times. The number 6 lands face-up on the cube 32 times. What is the closest estimate for the experimental probability of 6 landing face-up on the cube?	0.087	0.107	0.127	0.188		A cube numbered from 1 through 6 is rolled 300 times. The number 6 lands face-up on the cube 32 times. What is the closest estimate for the experimental probability of 6 landing face-up on the cube? 0.087 0.107 0.127 0.188
275	GA	2020.0	7	The Number System	MGSE7.NS.1b		1	John and Kamira are playing a game . John’s score (J) and Kamira’s score (K) after round 1 are shown on the number line.  The score recorded at the end of the first round is 2.  What could this score represent?	the sum of John’s score and Kamira’s score	the difference between John’s score and Kamira’s score	the absolute value of the difference of John’s score and Kamira’s score	the sum of the absolute value of John’s score and the absolute value of Kamira’s score		John and Kamira are playing a game . John’s score (J) and Kamira’s score (K) after round 1 are shown on the number line.  The score recorded at the end of the first round is 2.  What could this score represent? the sum of John’s score and Kamira’s score the difference between John’s score and Kamira’s score the absolute value of the difference of John’s score and Kamira’s score the sum of the absolute value of John’s score and the absolute value of Kamira’s score
276	GA	2020.0	7	Ratios and Proportional Relationships	MGSE7.RP.2d		1	Consider the graph.  What does point A represent on this graph?	When there are 12 web visits, there are 4 downloads.	When there are 12 downloads, there are 4 web visits.	As the number of web visits increases by 12, the number of downloads decreases by 4.	As the number of web visits decreases by 12, the number of downloads increases by 4.		Consider the graph.  What does point A represent on this graph? When there are 12 web visits, there are 4 downloads. When there are 12 downloads, there are 4 web visits. As the number of web visits increases by 12, the number of downloads decreases by 4. As the number of web visits decreases by 12, the number of downloads increases by 4.
277	GA	2020.0	7	Geometry	MGSE7.G.5		1	Consider the diagram of supplementary angles. What is the value of x?	10.4	52	61.6	92		Consider the diagram of supplementary angles. What is the value of x? 10.4 52 61.6 92
278	GA	2020.0	7	Geometry	MGSE7.G.6		1	Consider the figure composed of two rectangular prisms.  What is the volume of this figure, in cubic inches?	32	256	416	7680		Consider the figure composed of two rectangular prisms.  What is the volume of this figure, in cubic inches? 32 256 416 7680
279	GA	2020.0	7	Statistics and Probability	MGSE7.SP.3		1	Consider the two box plots. Which statement is TRUE?	Plot F has a greater range than Plot H.	Each plot has more than 25% of the data greater than 50.	The median of Plot F is greater than the median of Plot H.	The spread between the upper and lower quartiles on both graphs is 10.		Consider the two box plots. Which statement is TRUE? Plot F has a greater range than Plot H. Each plot has more than 25% of the data greater than 50. The median of Plot F is greater than the median of Plot H. The spread between the upper and lower quartiles on both graphs is 10.
280	GA	2020.0	7	Statistics and Probability	MGSE7.SP.7b		1	The table shows the results of randomly selecting colored marbles from a bag 40 times. The marble was returned to the bag after each selection.  Based on these results, what is the expected probability of randomly selecting a green marble from the bag in one attempt?	0.125	0.2	0.8	1		The table shows the results of randomly selecting colored marbles from a bag 40 times. The marble was returned to the bag after each selection.  Based on these results, what is the expected probability of randomly selecting a green marble from the bag in one attempt? 0.125 0.2 0.8 1
415	IA		7	The Number System	7.NS.A.3		0	It costs $12.65 to mail a medium-sized box. What does it cost to mail 6 medium-sized boxes?	18.65	72.65	75.9	79.8		It costs $12.65 to mail a medium-sized box. What does it cost to mail 6 medium-sized boxes? 18.65 72.65 75.9 79.8
416	IA		7	Expressions and Equations	7.EE.A.1		0	Which expression is equivalent to 6 + 4(x  + 3) ?	4x + 9	4x + 18	10x + 3	10x + 30		Which expression is equivalent to 6 + 4(x  + 3) ? 4x + 9 4x + 18 10x + 3 10x + 30
417	IA		7	Geometry	7.G.B.4		0	A round table in a conference room has a radius of 4 feet. What is the circumference, in feet, of the table?	2π	4π	8π	16π		A round table in a conference room has a radius of 4 feet. What is the circumference, in feet, of the table? 2π 4π 8π 16π
418	IA		7	Ratios and Proportional Relationships	7.RP.A.3		0	What percent of 500 is 150 ?	0.003	0.03	0.3	3.33		What percent of 500 is 150 ? 0.003 0.03 0.3 3.33
419	IA		7	Statistics and Probability	7.SP.C.7		0	A cooler contains 40 beverage cans : 8 lemonade, 20 soda, and 12 tea. The cans are all the same size and shape. Philip will select 1 can at random. What is the probability Philip will select a can of lemonade?	1 / 6	1 / 5	1 / 3	2 / 7		A cooler contains 40 beverage cans : 8 lemonade, 20 soda, and 12 tea. The cans are all the same size and shape. Philip will select 1 can at random. What is the probability Philip will select a can of lemonade?  1 / 6  1 / 5  1 / 3  2 / 7
420	IA		7	The Number System	7.NS.A.2		0	The width of a strip of paper is 5/12 inch. Which decimal is equivalent to 5/12 ?	0.125	0.4166666	0.46	0.512		The width of a strip of paper is 5/12 inch. Which decimal is equivalent to 5/12 ? 0.125 0.4166666 0.46 0.512
421	IA		7	Ratios and Proportional Relationships	7.RP.A.1		0	Liza ran 1/4 of a mile in 4/3 of a minute. Which expression gives Liza's unit rate, in miles per minute?	4/3  - 1/4	4/3  ÷   1/4	1/4   ÷   4/3	1/4    x   4/3		Liza ran 1/4 of a mile in 4/3 of a minute. Which expression gives Liza's unit rate, in miles per minute? 4/3  - 1/4 4/3  ÷   1/4 1/4   ÷   4/3 1/4    x   4/3
422	IA		7	Ratios and Proportional Relationships	7.RP.A.1		0	The straight-line distance between two trailheads is 36 miles. The trailheads are 4.5 inches apart on a map. How many miles does each inch on the map represent?	8	9	12.5	16		The straight-line distance between two trailheads is 36 miles. The trailheads are 4.5 inches apart on a map. How many miles does each inch on the map represent? 8 9 12.5 16
423	IA		7	The Number System	7.NS.A.1		0	Which number is equivalent to the expression below?  14 + |4| - 5 - |-2|	3	7	11	15		Which number is equivalent to the expression below?  14 + |4| - 5 - |-2| 3 7 11 15
424	IA		7	Statistics and Probability	7.SP.A.1		0	Rylee wants to find out how students at her school travel to school each day. She will collect data from a sample of students. Asking which group of students would result in the most representative sample?	Every 6th student who gets off the bus	The first 6 students who get to school early each day for a week	6 randomly selected students from each 1st period class	6 randomly selected students from each of her classes		Rylee wants to find out how students at her school travel to school each day. She will collect data from a sample of students. Asking which group of students would result in the most representative sample? Every 6th student who gets off the bus The first 6 students who get to school early each day for a week 6 randomly selected students from each 1st period class 6 randomly selected students from each of her classes
425	IA		7	Statistics and Probability	7.SP.B.3		0	The weights, in pounds, of the boxes in two shipments are given below.  Shipment A: 4.2, 5, 5.3  Shipment B: 2, 7.5, 8.9   By how many pounds do the median weights differ between the two shipments?	1.3	2.5	3.6	5.8		The weights, in pounds, of the boxes in two shipments are given below.  Shipment A: 4.2, 5, 5.3  Shipment B: 2, 7.5, 8.9   By how many pounds do the median weights differ between the two shipments? 1.3 2.5 3.6 5.8
426	IA		7	Ratios and Proportional Relationships	7.RP.A.2		0	Ken's Market sells cheddar cheese for a certain amount per pound. A customer bought 2 pounds for $10. Which equation relates the price, d dollars, for c pounds of cheddar cheese?	d = 1/5c	d = 5c	d = 2c + 10	d = 10c + 2		Ken's Market sells cheddar cheese for a certain amount per pound. A customer bought 2 pounds for $10. Which equation relates the price, d dollars, for c pounds of cheddar cheese? d = 1/5c d = 5c d = 2c + 10 d = 10c + 2
427	IA		7	The Number System	7.NS.A.3		0	What is the value of 10 - 6 (3/5  + 1/4) ?	3   2 / 5	4    4 / 9	4   17 / 20	4     9 / 10		What is the value of 10 - 6 (3/5  + 1/4) ?  3   2 / 5 4    4 / 9 4   17 / 20 4     9 / 10
428	IA		7	Expressions and Equations	7.EE.A.2		0	A formula for the perimeter P of a rectangle is shown below, where l represents the length and w represents the width of the rectangle. P = l + w + l + w   Another way to find the perimeter of a rectangle is to double the sum of the length and the width. Which formula shows this method of finding the perimeter?	P = 2lw	P = 2 + lw	P = 2l + w	P = 2(l + w)		A formula for the perimeter P of a rectangle is shown below, where l represents the length and w represents the width of the rectangle. P = l + w + l + w   Another way to find the perimeter of a rectangle is to double the sum of the length and the width. Which formula shows this method of finding the perimeter? P = 2lw P = 2 + lw P = 2l + w P = 2(l + w)
429	IA		7	The Number System	7.NS.A.3		0	A carpenter cut a board into three pieces. The pieces were 3 1/8 inches , 7 3/16 inches , and 5 1/2 inches long , respectively.  There was 1/16 inch of total waste from the cuts that were made. What was the length, in inches, of the original board?	15   1 / 7	15    3 / 8	15   3 / 4	15    7 / 8		A carpenter cut a board into three pieces. The pieces were 3 1/8 inches , 7 3/16 inches , and 5 1/2 inches long , respectively.  There was 1/16 inch of total waste from the cuts that were made. What was the length, in inches, of the original board? 15   1 / 7 15    3 / 8 15   3 / 4 15    7 / 8
430	IA		7	The Number System	7.NS.A.3		0	Michael's basketball team scored an average of 62.5 points per game last season. Michael scored an average of 12.5 points per game last season. The rest of the team scored what fraction of the points last season?	1 / 5	1 / 4	3 / 4	4 / 5		Michael's basketball team scored an average of 62.5 points per game last season. Michael scored an average of 12.5 points per game last season. The rest of the team scored what fraction of the points last season?  1 / 5  1 / 4  3 / 4  4 / 5
431	IA		7	Statistics and Probability	7.SP.C.8		0	Each time a coin is flipped, it has a 50% chance of landing on heads and a 50% chance of landing on tails. A coin will be flipped 8 times. What is the probability the coin will land on heads all 8 times?	1 / 2	1 / 8	1 / 16	1 / 256		Each time a coin is flipped, it has a 50% chance of landing on heads and a 50% chance of landing on tails. A coin will be flipped 8 times. What is the probability the coin will land on heads all 8 times?  1 / 2  1 / 8  1 / 16  1 / 256
432	IA		7	Ratios and Proportional Relationships	7.RP.A.3		0	A museum has 500 objects in a collection. The growth plan calls for the collection to increase by 4% each year.  Based on the growth plan, which value is the best estimate of the number of objects in the collection 3 years from now?	535	560	562	585		A museum has 500 objects in a collection. The growth plan calls for the collection to increase by 4% each year.  Based on the growth plan, which value is the best estimate of the number of objects in the collection 3 years from now? 535 560 562 585
433	IA		7	Expressions and Equations	7.EE.B.3		0	Each year of high school, Caleb raised his batting average by 8% of the previous year's average.  Which statement correctly describes the increase in Caleb's batting average. Caleb's batting average	increased by the same amount each year of high school.	increased the most from his first to second year of high school.	increased the most from his second to third year of high school.	increased the most from his third to fourth year of high school.		Each year of high school, Caleb raised his batting average by 8% of the previous year's average.  Which statement correctly describes the increase in Caleb's batting average. Caleb's batting average increased by the same amount each year of high school. increased the most from his first to second year of high school. increased the most from his second to third year of high school.  increased the most from his third to fourth year of high school.
434	IA		7	The Number System	7.NS.A.3		0	A 3-digit whole number is divided by 16. What is the greatest value the remainder may have?	1	15	16	17		A 3-digit whole number is divided by 16. What is the greatest value the remainder may have? 1 15 16 17
435	IA		7	Ratios and Proportional Relationships	7.RP.A.3		0	Hikers on a backpacking trip take 2 hours and 10 minutes to hike the first 2.6 miles of an 8-mile hike. At this pace, which amount of time best approximates how long they will take to hike the entire 8 miles of the trip?	6 hours and 30 minutes	6 hours and 40 minutes	7 hours and 35 minutes	9 hours and 36 minutes		Hikers on a backpacking trip take 2 hours and 10 minutes to hike the first 2.6 miles of an 8-mile hike. At this pace, which amount of time best approximates how long they will take to hike the entire 8 miles of the trip? 6 hours and 30 minutes 6 hours and 40 minutes 7 hours and 35 minutes 9 hours and 36 minutes
