	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
32	AK		5				1	Use the array to multiply 3/4 by 2/5.	5 / 9	3 / 10	14 / 20	23 / 20		Use the array to multiply 3/4 by 2/5.  5 / 9  3 / 10  14 / 20  23 / 20
74	AR	2017.0	5	Number and Operations - Fractions	5.NF.B.7.c		0	A school club used 1/15 of its budget to buy 9 T-shirts. The price of each T-shirt was the same. What fraction of the club's budget was used to buy 1 T-shirt?	3 / 5	14 / 15	1 / 24	1 / 135	8 / 135	A school club used 1/15 of its budget to buy 9 T-shirts. The price of each T-shirt was the same. What fraction of the club's budget was used to buy 1 T-shirt?  3 / 5  14 / 15 1 / 24  1 / 135  8 / 135
75	AR	2017.0	5	Number and Operations in Base Ten	5.NBT.A.1		0	Consider the numbers 607.05 and 1,805.67. Which of the statements below is (are) true? 1. The value of the 5 in 607.05 is 1/100 times the value of the 5 in 1,805.67. 2. The value of the 6 in 607.05 is 1,000 times the value of the 6 in 1,805.67. 3. The value of the 7 in 607.05 is 1,000 times the value of the 7 in 1,805.67.	1 only	2 only	3 only	1 and 2 only	2 and 3 only	Consider the numbers 607.05 and 1,805.67. Which of the statements below is (are) true? 1. The value of the 5 in 607.05 is 1/100 times the value of the 5 in 1,805.67. 2. The value of the 6 in 607.05 is 1,000 times the value of the 6 in 1,805.67. 3. The value of the 7 in 607.05 is 1,000 times the value of the 7 in 1,805.67. 1 only 2 only 3 only 1 and 2 only 2 and 3 only
76	AR	2017.0	5	Measurement and Data	5.MD.A		0	Which of the following amounts of time is the same as 5 3/4 hours?	5 hours 15 minutes	5 hours 35 minutes	5 hours 40 minutes	5 hours 45 minutes	5 hours 75 minutes	Which of the following amounts of time is the same as 5 3/4 hours? 5 hours 15 minutes 5 hours 35 minutes 5 hours 40 minutes 5 hours 45 minutes 5 hours 75 minutes
77	AR	2017.0	5	Operations and Algebraic Thinking	5.OA.B		0	A pattern exists among the units digits of the powers of 7, as shown below. What is the units digit of 7^50 ? 7^0 = 1 7^1 = 7 7^2 = 49 7^3 = 343 7^4 = 2,401 7^5 = 16,807 7^6 = 117,649 7^7 = 823,543 7^8 = 5,764,801 (Note: The units digit of 2,401 is 1.)	1	3	4	7	9	A pattern exists among the units digits of the powers of 7, as shown below. What is the units digit of 7^50 ? 7^0 = 1 7^1 = 7 7^2 = 49 7^3 = 343 7^4 = 2,401 7^5 = 16,807 7^6 = 117,649 7^7 = 823,543 7^8 = 5,764,801 (Note: The units digit of 2,401 is 1.) 1 3 4 7 9
78	AR	2017.0	5	Geometry	5.G.B.4		1	Two of the shapes below are quadrilaterals that each have at least 1 acute angle and at least 1 obtuse angle. Which two?	Shapes A and B	Shapes A and E	Shapes B and D	Shapes B and E	Shapes C and D	Two of the shapes below are quadrilaterals that each have at least 1 acute angle and at least 1 obtuse angle. Which two? Shapes A and B Shapes A and E Shapes B and D Shapes B and E Shapes C and D
98	CO	2020.0	5				0	Which amount is greater than four hundred forty-five and fifty-seven hundredths?	Four hundred forty-five and five tenths	Four hundred forty-five and seven tenths	Four hundred forty-five and five thousandths	Four hundred forty-five and fifty-seven thousandths		Which amount is greater than four hundred forty-five and fifty-seven hundredths?  Four hundred forty-five and five tenths Four hundred forty-five and seven tenths Four hundred forty-five and five thousandths Four hundred forty-five and fifty-seven thousandths
99	CO	2020.0	5				0	What is the value of the expression 11/8 + 1/5 ?	3 / 10	12 / 13	63 / 40	15 / 8		What is the value of the expression 11/8 + 1/5 ?  3 / 10  12 / 13  63 / 40  15 / 8
100	CO	2020.0	5				0	A frog wants to reach a pond that is 10 feet away. The frog hops 5 times. Each hop is 18 inches. How many more inches does the frog need to travel to reach the pond?	30	90	102	138		A frog wants to reach a pond that is 10 feet away. The frog hops 5 times. Each hop is 18 inches. How many more inches does the frog need to travel to reach the pond? 30 90 102 138
101	CO	2020.0	5				0	The frog has two ways to reach the pond. The frog could hop on grass for 10 feet or hop on the sidewalk for 4 yards and 1 foot to reach the pond. Which statement is true?	The grass route is 72 inches shorter than the sidewalk route.	The sidewalk route is 5 feet shorter than the grass route.	The sidewalk route is 1 yard longer than the grass route.	The sidewalk route is 2 feet longer than the grass route.		The frog has two ways to reach the pond. The frog could hop on grass for 10 feet or hop on the sidewalk for 4 yards and 1 foot to reach the pond. Which statement is true? The grass route is 72 inches shorter than the sidewalk route. The sidewalk route is 5 feet shorter than the grass route. The sidewalk route is 1 yard longer than the grass route. The sidewalk route is 2 feet longer than the grass route.
102	CO	2020.0	5				1	Four children are in line. Their age and height are shown in the table.  The park rules allow children who are 12 years or older and at least 50 inches tall to go on the water ride. Which coordinate pair could represent the age and height of a child that can go on the ride?	(11, 54)	(12, 44)	(13, 51)	(14, 49)		Four children are in line. Their age and height are shown in the table.  The park rules allow children who are 12 years or older and at least 50 inches tall to go on the water ride. Which coordinate pair could represent the age and height of a child that can go on the ride? (11, 54)  (12, 44) (13, 51) (14, 49)
138	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.2.4		0	Which expression is equivalent to 3/8  ×  4/9  ?	12 / 72	7 / 17	12 / 17	7 / 72		Which expression is equivalent to 3/8  ×  4/9  ?  12 / 72  7 / 17  12 / 17  7 / 72
139	FL	2020.0	5	Operations and Algebraic Thinking	MAFS.5.OA.1		0	A numerical expression is evaluated as shown. 1/2 x (6 x   1 + 7)  + 11       Step 1:  1/2 x (6 x 8) + 11     Step 2:  1/2  x   48 + 11    Step   3:  24 + 11 Step 4:  35   In which step does a mistake first appear?	Step 1	Step 2	Step 3	Step 4		A numerical expression is evaluated as shown. 1/2 x (6 x   1 + 7)  + 11       Step 1:  1/2 x (6 x 8) + 11     Step 2:  1/2  x   48 + 11    Step   3:  24 + 11 Step 4:  35   In which step does a mistake first appear? Step 1 Step 2 Step 3 Step 4
140	FL	2020.0	5	Operations and Algebraic Thinking	MAFS.5.OA.1		0	Which expression could represent the following phrase? Divide 10 by 2, then subtract 3.	2 ÷   10 – 3	2 ÷   (10 –   3)	10 ÷   2 – 3	10 ÷   (2 –   3)		Which expression could represent the following phrase? Divide 10 by 2, then subtract 3. 2 ÷   10 – 3  2 ÷   (10 –   3)  10 ÷   2 – 3  10 ÷   (2 –   3)
141	FL	2020.0	5	Operations and Algebraic Thinking	MAFS.5.OA.1.2		0	Which statement describes the expression 18 + 1/2 x (9  –   4)?	Half the difference of 4 from 9 added to 18	Subtract half the quantity of 9 and 4 from 18	The sum of 18 and half the product of 9 and 4	Half of 9 added to 18 minus 4		Which statement describes the expression 18 + 1/2 x (9  –   4)?  Half the difference of 4 from 9 added to 18 Subtract half the quantity of 9 and 4 from 18 The sum of 18 and half the product of 9 and 4 Half of 9 added to 18 minus 4
142	FL	2020.0	5	Number and Operations in Base Ten	MAFS.5.NBT.1		0	What is the value of the missing number in the following equation? 0.34 x  __ = 3.4	10	100	1 / 10	1 / 100		What is the value of the missing number in the following equation? 0.34 x  __ = 3.4  10 100  1 / 10  1 / 100
143	FL	2020.0	5	Number and Operations in Base Ten	MAFS.5.NBT.1		0	Which statement is equivalent to multiplying a number by 10^3 ?	adding 10 three times	adding 3 ten times	multiplying by 10 three times	multiplying by 3 ten times		Which statement is equivalent to multiplying a number by 10^3 ? adding 10 three times adding 3 ten times multiplying by 10 three times multiplying by 3 ten times
144	FL	2020.0	5	Number and Operations in Base Ten	MAFS.5.NBT.1		0	What is“two hundred sixty-five thousandths”in decimal form?	260.005	265	0.265	2.65		What is“two hundred sixty-five thousandths”in decimal form? 260.005 265 0.265 2.65
145	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.1.1		0	What is the value of the expression? 5/6 + 8/12	9 / 12	13 / 18	18 / 12	13 / 24		What is the value of the expression? 5/6 + 8/12  9 / 12  13 / 18  18 / 12  13 / 24
146	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.1.1		0	What is the value of the expression  6 1/3  - 4  3/4	2    5 / 12	2     2 / 12	1   7 / 12	1    5 / 12		What is the value of the expression  6 1/3  - 4  3/4 2    5 / 12 2     2 / 12 1   7 / 12 1    5 / 12
147	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.1.2		0	Javon, Sam, and Antoine are baking cookies.  Javon has 1/2 cup of flour, Sam has 1 1/6 cups of flour,  and Antoine has 1 3/4 cups of flour. How many cups of flour do they have altogether?	2   5 / 12	2   7 / 12	3   5 / 12	4   1 / 12		Javon, Sam, and Antoine are baking cookies.  Javon has 1/2 cup of flour, Sam has 1 1/6 cups of flour,  and Antoine has 1 3/4 cups of flour. How many cups of flour do they have altogether? 2   5 / 12 2   7 / 12 3   5 / 12 4   1 / 12
148	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.1.2		0	Richard and Gianni each bought a pizza.  The pizzas are the same size.  • Richard cut his pizza into 12 slices.  • Gianni cut his pizza into 6 slices, and ate 2 slices.  • Together, Richard and Gianni ate 9/12 of one pizza. How many slices of his pizza did Richard eat?	3	5	6	7		Richard and Gianni each bought a pizza.  The pizzas are the same size.  • Richard cut his pizza into 12 slices.  • Gianni cut his pizza into 6 slices, and ate 2 slices.  • Together, Richard and Gianni ate 9/12 of one pizza. How many slices of his pizza did Richard eat? 3 5 6 7
149	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.2.3		0	Which expression is equivalent to 8/15 ?	8 –   15	15 – 8	8 ÷ 15	15 ÷ 8		Which expression is equivalent to 8/15 ?  8 –   15 15 – 8  8 ÷ 15 15 ÷ 8
150	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.2.6		0	Roger has 2 3/4 gallons of water in a jug. He pours 5/8 of the water into a new container. How many gallons of water does Roger have remaining in the jug?	1   23 / 32	2    1 / 8	2    8 / 12	3   3 / 8		Roger has 2 3/4 gallons of water in a jug. He pours 5/8 of the water into a new container. How many gallons of water does Roger have remaining in the jug?  1   23 / 32 2    1 / 8 2    8 / 12 3   3 / 8
151	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.2.5b		0	Two newspapers are comparing sales from last year.  • The Post sold 34,859 copies.   • The Tribune sold fewer copies than the Post.  Which expression could describe the number of newspapers the Tribune sold?	34,859 ×  4 / 2	34,859 ×  3 / 2	34,859 ×  2 / 2	34,859 ×  1 / 2		Two newspapers are comparing sales from last year.  • The Post sold 34,859 copies.   • The Tribune sold fewer copies than the Post.  Which expression could describe the number of newspapers the Tribune sold? 34,859 ×  4 / 2 34,859 ×  3 / 2 34,859 ×  2 / 2 34,859 ×  1 / 2
152	FL	2020.0	5	Number and Operations - Fractions	MAFS.5.NF.2.7c		0	Julio has 8 pounds of candy. He wants to put the candy into bags so that each bag has 1/2 pound. Which equation shows how to calculate the number of bags of candy Julio can make?	16 ×  1 / 2 = 8	16 ×   2 = 32	16  ×   8 =  1 / 2	16 ×   8 = 128		Julio has 8 pounds of candy. He wants to put the candy into bags so that each bag has 1/2 pound. Which equation shows how to calculate the number of bags of candy Julio can make? 16 ×  1 / 2 = 8 16 ×   2 = 32 16  ×   8 =  1 / 2 16 ×   8 = 128
153	FL	2020.0	5	Measurement and Data	MAFS.5.MD.3		0	Ellen is shopping for boxes. Which measurement should she use to determine the amount the box will hold?	area	length	perimeter	volume		Ellen is shopping for boxes. Which measurement should she use to determine the amount the box will hold? area length perimeter volume
154	FL	2020.0	5	Geometry	MAFS.5.G.1		0	Point Z is 3 units away from the origin on the x-axis. What could be the coordinates of point Z?	(0, 3)	(3,  0)	(3,  3)	(3,  6)		Point Z is 3 units away from the origin on the x-axis. What could be the coordinates of point Z?  (0, 3)  (3,  0) (3,  3) (3,  6)
155	FL	2020.0	5	Geometry	MAFS.5.G.2		0	Which kinds of shapes are always rectangles?	Parallelograms	Quadrilaterals	Rhombuses	Squares		Which kinds of shapes are always rectangles? Parallelograms Quadrilaterals  Rhombuses Squares
156	FL	2020.0	5	Measurement and Data	MAFS.5.MD.2		1	A line plot with Kelly’s ribbon lengths is shown. What is the total length, in inches, of the three shortest ribbons?	63  1 / 2	63  1 / 4	64  1 / 12	64  1 / 4		A line plot with Kelly’s ribbon lengths is shown. What is the total length, in inches, of the three shortest ribbons? 63  1 / 2 63  1 / 4 64  1 / 12 64  1 / 4
157	FL	2020.0	5	Geometry	MAFS.5.G.1.1		1	Which point is located at (5, 1) on the coordinate grid?	Point A	Point B	Point C	Point D		Which point is located at (5, 1) on the coordinate grid? Point A Point B Point C Point D
158	FL	2020.0	5	Geometry	MAFS.5.G.1.2		1	Some locations in Lamar’s town are shown in the coordinate plane. Lamar moved from one location to another by traveling 1 unit left and 5 units up. Which ways could he have traveled?	from home to the park	from the park to the library	from home to the library	from school to the park		Some locations in Lamar’s town are shown in the coordinate plane. Lamar moved from one location to another by traveling 1 unit left and 5 units up. Which ways could he have traveled? from home to the park from the park to the library from home to the library from school to the park
224	GA	2020.0	5	Operations and Algebraic Thinking	MGSE5.OA.1		0	Which expression has a total value of 40?	3 + 2 × (13 − 5)	3 + 2 × 13 − 5	(3 + 2) × (13 − 5)	(3 + 2) × 13 − 5		Which expression has a total value of 40? 3 + 2 × (13 − 5) 3 + 2 × 13 − 5 (3 + 2) × (13 − 5) (3 + 2) × 13 − 5
225	GA	2020.0	5	Operations and Algebraic Thinking	MGSE5.OA.2		0	Which expression represents the calculation “subtract 1 from 7, then divide by 3” ?	7 – 1 ÷ 3	3 ÷ (7 – 1)	(7 – 1) ÷ 3	7 – (1 ÷ 3)		Which expression represents the calculation “subtract 1 from 7, then divide by 3” ? 7 – 1 ÷ 3 3 ÷ (7 – 1) (7 – 1) ÷ 3 7 – (1 ÷ 3)
226	GA	2020.0	5	Operations and Algebraic Thinking	MGSE5.OA.2		0	Which description is equivalent to 5 + (4 × 2) ?	add 5 and 4, then multiply by 2	multiply 4 by 2, then add 5	multiply 5 by 2, then add 4	add 4 and 2, then multiply by 5		Which description is equivalent to 5 + (4 × 2) ? add 5 and 4, then multiply by 2 multiply 4 by 2, then add 5 multiply 5 by 2, then add 4 add 4 and 2, then multiply by 5
227	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.3		0	Which number shows the decimal form for this expression? 8 × ( 1/10 ) + 3 × ( 1/100 ) + 9 × ( 1/1000 )	0.0839	0.839	8.39	83.9		Which number shows the decimal form for this expression? 8 × ( 1/10 ) + 3 × ( 1/100 ) + 9 × ( 1/1000 ) 0.0839 0.839 8.39 83.9
228	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.4		0	What is 5.816 rounded to the nearest tenth?	5.8	5.82	5.9	6		What is 5.816 rounded to the nearest tenth? 5.8 5.82 5.9 6
229	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.4		0	Which number rounded to the nearest tenth is less than 11.34 rounded to the nearest tenth?	11.361	11.283	11.347	11.249		Which number rounded to the nearest tenth is less than 11.34 rounded to the nearest tenth? 11.361 11.283 11.347 11.249
230	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.2		0	Hannah multiplies 0.542 by powers of 10. 0.542 × 10^1 = 5.42 0.542 × 10^2 = 54.2 0.542 × 10^3 = 542 0.542 × 10^4 = 5,420 By what power of 10 would Hannah multiply 0.542 to get a product of 5,420,000?	10^5	10^6	10^7	10^8		Hannah multiplies 0.542 by powers of 10. 0.542 × 10^1 = 5.42 0.542 × 10^2 = 54.2 0.542 × 10^3 = 542 0.542 × 10^4 = 5,420 By what power of 10 would Hannah multiply 0.542 to get a product of 5,420,000? 10^5 10^6 10^7 10^8
231	GA	2020.0	5	Number and Operations - Fractions	MGSE5.NF.3		0	A teacher has a 60-pound bag of sand. She pours all the sand into 8 buckets. She puts an equal amount of sand in each bucket. What is the total amount of sand in each bucket?	2/15 pound	6 1/2 pounds	7 1/2 pounds	8 1/2 pounds		A teacher has a 60-pound bag of sand. She pours all the sand into 8 buckets. She puts an equal amount of sand in each bucket. What is the total amount of sand in each bucket? 2/15 pound 6 1/2 pounds 7 1/2 pounds 8 1/2 pounds
232	GA	2020.0	5	Number and Operations - Fractions	MGSE5.NF.1		0	What is the difference of these fractions? 1  5/8    -  2/3	2 / 24	16 / 24	23 / 24	11 / 5		What is the difference of these fractions? 1  5/8    -  2/3   2 / 24  16 / 24  23 / 24  11 / 5
233	GA	2020.0	5	Geometry	MGSE5.G.3		0	What attributes do a rhombus and a rectangle always have in common?	Both figures always have four right angles.	Both figures always have four sides of equal length.	Both figures always have two pairs of parallel sides.	Both figures always have only one pair of parallel sides.		What attributes do a rhombus and a rectangle always have in common? Both figures always have four right angles. Both figures always have four sides of equal length. Both figures always have two pairs of parallel sides. Both figures always have only one pair of parallel sides.
234	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.7		1	The area model illustrates the product of 2.6 × 3.2. What is the product?	6.232	7.8	8.32	9.6		The area model illustrates the product of 2.6 × 3.2. What is the product?  6.232 7.8 8.32 9.6
235	GA	2020.0	5	Number and Operations in Base Ten	MGSE5.NBT.7		1	Ted is using a model to find the quotient of 6.9 ÷ 2.3. He starts by modeling the dividend, 6.9, as shown. He will now separate the model into equal groups to model the division. How many equal groups of 2.3 should he make?	0.3	3	30	300		Ted is using a model to find the quotient of 6.9 ÷ 2.3. He starts by modeling the dividend, 6.9, as shown. He will now separate the model into equal groups to model the division. How many equal groups of 2.3 should he make?  0.3 3 30 300
236	GA	2020.0	5	Number and Operations - Fractions	MGSE5.NF.4		1	Four students each draw a circle. They each shade 3/4 of their circles, as shown. Which equation shows how much of the circles are shaded altogether?	4  x 1/4 = 4/4 = 1	4 x 3/4 = 7/4 = 1 3/4	4 x 3/4 = 3/16	4 x 3/4 = 12/4  = 3		Four students each draw a circle. They each shade 3/4 of their circles, as shown. Which equation shows how much of the circles are shaded altogether?  4  x 1/4 = 4/4 = 1 4 x 3/4 = 7/4 = 1 3/4 4 x 3/4 = 3/16 4 x 3/4 = 12/4  = 3
237	GA	2020.0	5	Measurement and Data	MGSE5.MD.2		1	Tina measures the lengths, in inches, of 10 insects. She records the lengths of the insects on this line plot. She adds the lengths of the 3 longest insects. What is the total length, in inches, of the 3 longest insects?	2 1/4 in.	3 in.	4 1/2 in.	5 in.		Tina measures the lengths, in inches, of 10 insects. She records the lengths of the insects on this line plot. She adds the lengths of the 3 longest insects. What is the total length, in inches, of the 3 longest insects? 2 1/4 in. 3 in. 4 1/2 in. 5 in.
238	GA	2020.0	5	Measurement and Data	MGSE5.MD.2		1	Nichole measured the lengths of five seashells she found at the beach. The length, in inches, of each seashell is shown on the line plot. What is the difference, in inches, between the longest and shortest seashells Nichole measured?	1 / 2	3 / 4	7 / 8	1		Nichole measured the lengths of five seashells she found at the beach. The length, in inches, of each seashell is shown on the line plot. What is the difference, in inches, between the longest and shortest seashells Nichole measured?  1 / 2  3 / 4   7 / 8 1
239	GA	2020.0	5	Measurement and Data	MGSE5.MD.5		1	Find the volume of the rectangular prism. (Volume = length × width × height) What is the maximum number of unit cubes that will fit inside the rectangular prism?	6	16	24	48		Find the volume of the rectangular prism. (Volume = length × width × height) What is the maximum number of unit cubes that will fit inside the rectangular prism? 6 16 24 48
240	GA	2020.0	5	Geometry	MGSE5.G.2		1	Felipe made a triangle on a coordinate grid. What are the coordinates for point G?	(3, 4)	(5, 8)	(8, 2)	(2, 8)		Felipe made a triangle on a coordinate grid. What are the coordinates for point G? (3, 4) (5, 8) (8, 2) (2, 8)
241	GA	2020.0	5	Geometry	MGSE5.G.2		1	The point on the coordinate plane shown represents the number of hours, x, Felix spent doing chores and the number of hours, y, he spent doing homework last week. The week before, Felix spent the same total amount of time doing chores and homework. Felix only spent 1 hour doing chores that week. What are the coordinates of the point for the week before?	(1, 7)	(3, 5)	(5, 3)	(7, 1)		The point on the coordinate plane shown represents the number of hours, x, Felix spent doing chores and the number of hours, y, he spent doing homework last week. The week before, Felix spent the same total amount of time doing chores and homework. Felix only spent 1 hour doing chores that week. What are the coordinates of the point for the week before? (1, 7) (3, 5) (5, 3) (7, 1)
354	IA		5	Number and Operations - Fractions	5.NF.B.3		0	Which number is equal to 8/3?	3 / 8	2   2 / 3	3   1 / 8	8   1 / 3		Which number is equal to 8/3?   3 / 8 2   2 / 3 3   1 / 8 8   1 / 3
355	IA		5	Number and Operations in Base Ten	5.NBT.A.4		0	What is 152.391 rounded to the tenths place?	150	152.3	152.4	152.39		What is 152.391 rounded to the tenths place? 150 152.3 152.4 152.39
356	IA		5	Number and Operations - Fractions	5.NF.B.6		0	A story says the distance between a cottage and a lake is 20 furlongs. A furlong is 1/8 mile. WHich expression gives the distance, in miles, between the cottage and the lake?	20 - 1/8	20 + 1/8	20 ÷  1/8	20 x 1/8		A story says the distance between a cottage and a lake is 20 furlongs. A furlong is 1/8 mile. WHich expression gives the distance, in miles, between the cottage and the lake? 20 - 1/8 20 + 1/8 20 ÷  1/8 20 x 1/8
357	IA		5	Number and Operations in Base Ten	5.NBT.A.3		0	A bushel of apples weighed twenty-one and sixty-seven hundredths kilograms. Which number represents the number of kilograms the bushel of apples weighed?	0.2167	21.67	21.067	2167		A bushel of apples weighed twenty-one and sixty-seven hundredths kilograms. Which number represents the number of kilograms the bushel of apples weighed? 0.2167 21.67 21.067 2167
358	IA		5	Number and Operations - Fractions	5.NF.A.1		0	What is the least common denominator for the set of fractions {2/3 , 1/6 , 5/18 } ?	9	18	27	36		What is the least common denominator for the set of fractions {2/3 , 1/6 , 5/18 } ?  9 18 27 36
359	IA		5	Measurement and Data	5.MD.A.1		0	Marcus will pour 1-cup servings of juice at a picnic. He will pour a total of 2 gallons of juice. How many 1-cup servings are in 2 gallons? (Note: 1 gallon = 4 quarts; 1 quart = 4 cups)	8	10	16	32		Marcus will pour 1-cup servings of juice at a picnic. He will pour a total of 2 gallons of juice. How many 1-cup servings are in 2 gallons? (Note: 1 gallon = 4 quarts; 1 quart = 4 cups) 8 10 16 32
360	IA		5	Number and Operations in Base Ten	5.NBT.B.5		0	What is the value of 891 times 630?	56133	80190	509330	561330		What is the value of 891 times 630? 56133 80190 509330 561330
361	IA		5	Operations and Algebraic Thinking	5.OA.A.1		0	What is the value of the expression below? [24 - (9 x 2)] + (12 / 6)	3	7	8	32		What is the value of the expression below? [24 - (9 x 2)] + (12 / 6) 3 7 8 32
362	IA		5	Number and Operations in Base Ten	5.NBT.B.6		0	A grocery store evenly divided 7,840 paper bags to be stocked at 14 cash registers. How many paper bags were stocked at each cash register?	56	416	506	560		A grocery store evenly divided 7,840 paper bags to be stocked at 14 cash registers. How many paper bags were stocked at each cash register? 56 416 506 560
363	IA		5	Measurement and Data	5.MD.C.3		0	Which value could be measured in cubic feet?	Area of a porch	Length of a rope	Volume of a suitcase	Perimeter of a house		Which value could be measured in cubic feet? Area of a porch Length of a rope Volume of a suitcase Perimeter of a house
364	IA		5	Geometry	5.G.B.3		0	All squares are rectangles and rhombuses, so	all rectangles are squares.	all rectangles are rhombuses.	all squares, rectangles, and rhombuses have 4 right angles.	all squares have 4 right angles and 4 sides of the same length.		All squares are rectangles and rhombuses, so all rectangles are squares. all rectangles are rhombuses. all squares, rectangles, and rhombuses have 4 right angles. all squares have 4 right angles and 4 sides of the same length.
365	IA		5	Number and Operations in Base Ten	5.NBT.B.5		0	Jack has 104 postcards. He keeps them in photo books that each hold 40 postcards. Jack's goal is to completely fill 6 photo books with postcards. How many more postcards does Jack need to meet his goal?	136	146	150	584		Jack has 104 postcards. He keeps them in photo books that each hold 40 postcards. Jack's goal is to completely fill 6 photo books with postcards. How many more postcards does Jack need to meet his goal? 136 146 150 584
366	IA		5	Number and Operations - Fractions	5.NF.A.2		0	Jake walks 3/10 mile to the bus stop. Allen walks 1/4 mile to the bus stop. How much farther, in miles, does Jake walk than Allen to the bus stop?	1 / 3	2 / 7	1 / 20	3 / 40		Jake walks 3/10 mile to the bus stop. Allen walks 1/4 mile to the bus stop. How much farther, in miles, does Jake walk than Allen to the bus stop?  1 / 3  2 / 7  1 / 20  3 / 40
