	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
220	GA	2020.0	4	Measurement and Data	MGSE4.MD.1		0	Katie buys a container that has 24 ounces of iced tea mix.  This container has enough iced tea mix to make 10 quarts of iced tea. (1 cup = 8 ounces) (4 cups = 1 quart) (1 gallon = 4 quarts) (2 cups = 1 pint)   Which quantity is equivalent to 10 quarts?	2 gallons	3 pints	32 ounces	40 cups		Katie buys a container that has 24 ounces of iced tea mix.  This container has enough iced tea mix to make 10 quarts of iced tea. (1 cup = 8 ounces) (4 cups = 1 quart) (1 gallon = 4 quarts) (2 cups = 1 pint)   Which quantity is equivalent to 10 quarts? 2 gallons 3 pints 32 ounces 40 cups
221	GA	2020.0	4	Measurement and Data	MGSE4.MD.1		0	Katie  used  1 1/2 tablespoons of iced tea mix for every cup of water.  She used 6 cups of water to make some iced tea. Which statement describes the number of tablespoons of iced tea mix and the number of ounces of water Katie used?	Katie used 9 tablespoons of iced tea mix and 14 ounces of water.	Katie used 9 tablespoons of iced tea mix and 48 ounces of water.	Katie used 12 tablespoons of iced tea mix and 14 ounces of water.	Katie used 12 tablespoons of iced tea mix and 48 ounces of water.		Katie  used  1 1/2 tablespoons of iced tea mix for every cup of water.  She used 6 cups of water to make some iced tea. Which statement describes the number of tablespoons of iced tea mix and the number of ounces of water Katie used? Katie used 9 tablespoons of iced tea mix and 14 ounces of water.   Katie used 9 tablespoons of iced tea mix and 48 ounces of water.  Katie used 12 tablespoons of iced tea mix and 14 ounces of water.  Katie used 12 tablespoons of iced tea mix and 48 ounces of water.
222	GA	2020.0	4	Number and Operations - Fractions	MGSE4.NF.1		1	Look at the model. Which fraction is equivalent to the shaded part of this model?	1 / 4	1 / 3	1/ 2	1 / 6		Look at the model. Which fraction is equivalent to the shaded part of this model?  1 / 4  1 / 3  1/ 2  1 / 6
223	GA	2020.0	4	Measurement and Data	MGSE4.MD.7		1	Look at the angle measures in the right angle.  What is the measure of the unknown angle,  n?	15°	25°	90°	180°		Look at the angle measures in the right angle.  What is the measure of the unknown angle,  n? 15° 25°  90° 180°
325	IA		4	Number and Operations - Fractions	4.NF.B.3		0	Jonathan made salsa. He ate 1/8 of the salsa on Tuesday, and 2/8 of the salsa on Wednesday. What fraction of the salsa was left after Wednesday?	1 / 8	2 / 8	5 / 8	6 / 8		Jonathan made salsa. He ate 1/8 of the salsa on Tuesday, and 2/8 of the salsa on Wednesday. What fraction of the salsa was left after Wednesday?  1 / 8  2 / 8  5 / 8  6 / 8
326	IA		4	Operations and Algebraic Thinking	4.OA.C.5		0	Which rule applies to the pattern below?   5, 7, 6, 8, 7, 9, 8, ....	Add 2. Subtract 1.	Add 2. Subtract 1.	Add 3. Subtract 1.	Add 3. Subtract 2.		Which rule applies to the pattern below?   5, 7, 6, 8, 7, 9, 8, .... Add 2. Subtract 1. Add 2. Subtract 1. Add 3. Subtract 1. Add 3. Subtract 2.
327	IA		4	Number and Operations in Base Ten	4.NBT.A.1		0	How many groups of 30 are there in 300?	3	10	30	100		How many groups of 30 are there in 300? 3 10 30 100
328	IA		4	Number and Operations in Base Ten	4.NBT.B.6		0	Beth bought 6 picture frames for a total of $138. What was the price for each picture frame?	21	22	23	24		Beth bought 6 picture frames for a total of $138. What was the price for each picture frame? 21 22 23 24
329	IA		4	Operations and Algebraic Thinking	4.OA.A.1		0	Evalyn and Simone collect stamps. Evalyn has 5 times as many stamps as Simone. Simone has 30 stamps. How many stamps does Evalyn have?	30 - 5	30 + 5	30 ÷ 5	30  × 5		Evalyn and Simone collect stamps. Evalyn has 5 times as many stamps as Simone. Simone has 30 stamps. How many stamps does Evalyn have? 30 - 5 30 + 5 30 ÷ 5 30  × 5
330	IA		4	Number and Operations in Base Ten	4.NBT.B.4		0	On Monday, a museum had 2,394 visitors. On Tuesday, the museum had 3,157 visitors. How many more visitors did the museum have on Tuesday than on Monday?	763	863	1243	1363		On Monday, a museum had 2,394 visitors. On Tuesday, the museum had 3,157 visitors. How many more visitors did the museum have on Tuesday than on Monday? 763 863 1243 1363
331	IA		4	Operations and Algebraic Thinking	4.OA.B.4		0	Each page in a photo album is full and holds 6 pictures. Which number could be the total number of pictures in the album?	51	68	76	84		Each page in a photo album is full and holds 6 pictures. Which number could be the total number of pictures in the album? 51 68 76 84
332	IA		4	Measurement and Data	4.MD.A.1		0	Gemma will measure the perimeter of a garden in her backyard. Which is the best estimate of the perimeter of the garden?	30 liters	30 meters	30 milimeters	30 kilometers		Gemma will measure the perimeter of a garden in her backyard. Which is the best estimate of the perimeter of the garden? 30 liters 30 meters 30 milimeters 30 kilometers
333	IA		4	Operations and Algebraic Thinking	4.OA.A.3		0	Alexander traveled 700 miles by train over 3 days. On the first day he traveled 215 miles. On the second day he traveled 280 miles. How many miles did Alexander travel on the third day?	205	233	305	495		Alexander traveled 700 miles by train over 3 days. On the first day he traveled 215 miles. On the second day he traveled 280 miles. How many miles did Alexander travel on the third day? 205 233 305 495
334	IA		4	Number and Operations - Fractions	4.NF.C.7		0	Chris ran the 400-meter race in 65.3 seconds. Brenda ran the race in less time. Which time, in seconds, could have been Brenda's time?	66.1	65.4	65.3	65.23		Chris ran the 400-meter race in 65.3 seconds. Brenda ran the race in less time. Which time, in seconds, could have been Brenda's time? 66.1 65.4 65.3 65.23
335	IA		4	Operations and Algebraic Thinking	4.OA.A.3		0	The tables at an event center each seat up to 9 chairs. For an event, 11 stacks of 6 chairs each will be used. What is the smallest number of tables that can be used with all of the chairs?	3	7	8	11		The tables at an event center each seat up to 9 chairs. For an event, 11 stacks of 6 chairs each will be used. What is the smallest number of tables that can be used with all of the chairs? 3 7 8 11
336	IA		4	Number and Operations - Fractions	4.NF.C.5		0	Which process shows a correct way to add the fractions below? 6/100 + 3/10	6/100 + 3/10 = 6+3/ 100+ 10 = 9/110	6/100 + 3/10 = 6+3/ 100 = 9/100	6/100 + 30/10 = 6+30/ 100+ 10 = 36/110	6/100 + 30/100 = 6+30/ 100 = 36/110		Which process shows a correct way to add the fractions below? 6/100 + 3/10 6/100 + 3/10 = 6+3/ 100+ 10 = 9/110 6/100 + 3/10 = 6+3/ 100 = 9/100 6/100 + 30/10 = 6+30/ 100+ 10 = 36/110 6/100 + 30/100 = 6+30/ 100 = 36/110
337	IA		4	Number and Operations - Fractions	4.NF.B.4		0	Jade and Amanda each ran at a track. Jade ran 3/4 mile. Amanda ran 3 times as far as Jade. How many miles did Amanda run?	1  1 / 2	2   1 / 4	3    3 / 4	4		Jade and Amanda each ran at a track. Jade ran 3/4 mile. Amanda ran 3 times as far as Jade. How many miles did Amanda run? 1  1 / 2 2   1 / 4 3    3 / 4 4
338	IA		4	Measurement and Data	4.MD.A.2		0	Susan bought 2 pounds of fresh green beans. She cooked 12 ounces of the green beans and froze the rest. What is total number of ounces of green beans Susan froze? (Note: 1 pound = 16 ounces)	8	10	20	28		Susan bought 2 pounds of fresh green beans. She cooked 12 ounces of the green beans and froze the rest. What is total number of ounces of green beans Susan froze? (Note: 1 pound = 16 ounces) 8 10 20 28
339	IA		4	Number and Operations in Base Ten	4.NBT.A.1		0	In the number below, the 3 represents 300. 5,319  Choose the number that makes the number sentence below true. The number the 5 represents is ___ times the number the 1 represents.	50	100	500	1000		In the number below, the 3 represents 300. 5,319  Choose the number that makes the number sentence below true. The number the 5 represents is ___ times the number the 1 represents. 50 100 500 1000
340	IA		4	Measurement and Data	4.MD.C.5		1	Each shaded angle in the circle has a measure of 40⁰ . What fraction of the circle is shaded?	40 / 40	40 / 80	80 / 180	80 / 360		Each shaded angle in the circle has a measure of 40⁰ . What fraction of the circle is shaded?  40 / 40  40 / 80  80 / 180  80 / 360
341	IA		4	Measurement and Data	4.MD.C.6		1	What is the measure of the angle shown?	45⁰	55⁰	135⁰	145⁰		What is the measure of the angle shown? 45⁰ 55⁰ 135⁰ 145⁰
342	IA		4	Geometry	4.G.A.2		1	Which triangles are right triangles?	Only P	Only Q	Only Q and R	Only P and S		Which triangles are right triangles? Only P Only Q Only Q and R Only P and S
343	IA		4	Number and Operations - Fractions	4.NF.C.6		1	What is the value of point X on the number line below?	0.4	0.47	0.5	0.53		What is the value of point X on the number line below? 0.4 0.47 0.5 0.53
344	IA		4	Geometry	4.G.A.3		1	How many lines of symmetry does the square below have altogether?	1	2	4	8		How many lines of symmetry does the square below have altogether? 1 2 4 8
345	IA		4	Number and Operations in Base Ten	4.NBT.B.5		1	Which digit or digits should replace the __ in the problem below?	1	9	10	50		Which digit or digits should replace the __ in the problem below? 1 9 10 50
346	IA		4	Measurement and Data	4.MD.C.7		1	The right triangle below is divided into two parts. The measure of angle RPS is 25⁰ . What is the measure of QPR?	25⁰	65⁰	75⁰	115⁰		The right triangle below is divided into two parts. The measure of angle RPS is 25⁰ . What is the measure of QPR? 25⁰ 65⁰ 75⁰ 115⁰
347	IA		4	Number and Operations in Base Ten	4.NBT.A.3		1	The table below shows the populations of two cities. Cassie estimated the combined population of the two cities by rounding each number to the nearest ten thousand and adding the numbers together. What is the estimate of the combined population?	1300000	1320000	1323000	1330000		The table below shows the populations of two cities. Cassie estimated the combined population of the two cities by rounding each number to the nearest ten thousand and adding the numbers together. What is the estimate of the combined population? 1300000 1320000 1323000 1330000
348	IA		4	Measurement and Data	4.MD.B.4		1	The line plot below shows the shoe sizes of each of 5 brothers in the Hanley family. What is the difference between the largest shoe size and the smallest shoe size worn by the Brothers in the Hanley family?	3   1 / 2	4  1 / 2	5	6		The line plot below shows the shoe sizes of each of 5 brothers in the Hanley family. What is the difference between the largest shoe size and the smallest shoe size worn by the Brothers in the Hanley family? 3   1 / 2 4  1 / 2 5 6
349	IA		4	Number and Operations - Fractions	4.NF.A.2		1	Greta had a rectangle with 8 equal parts. She shaded 2 of them. Which fractions does Greta's rectangle show are equal?	1/8 = 1/4	2/8 = 1/4	1/8 = 1/2	2/8 = 1/2		Greta had a rectangle with 8 equal parts. She shaded 2 of them. Which fractions does Greta's rectangle show are equal? 1/8 = 1/4 2/8 = 1/4 1/8 = 1/2 2/8 = 1/2
350	IA		4	Operations and Algebraic Thinking	4.OA.A.2		1	Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.  Benjamin has $25. What is the greatest number of size A prints of the photo Benjamin can buy?	6	7	8	9		Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.  Benjamin has $25. What is the greatest number of size A prints of the photo Benjamin can buy? 6 7 8 9
351	IA		4	Operations and Algebraic Thinking	4.OA.A.3		1	Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.  Benjamin's mother will order 9 size A prints of the photo to give to her parents and cousins. She will give 1/2 as many prints to her parents as she gives to her cousins. How many prints will she give to her cousins?	3	4	5	6		Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.  Benjamin's mother will order 9 size A prints of the photo to give to her parents and cousins. She will give 1/2 as many prints to her parents as she gives to her cousins. How many prints will she give to her cousins? 3 4 5 6
352	IA		4	Measurement and Data	4.MD.A.3		1	Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.   Benjamin's father will buy a size B print of the photo. The size B print is twice as wide and twice as long as the size A print. The photo shop charges $0.12 per square inch for size B prints. What will the photo shop charge Benjamin's father for his print?	4.2	5.4	6	12		Benjamin's family had a photo taken. The size A print of the photo, shown below, is 5 inches by 5 inches. The price of each size A print is $3.   Benjamin's father will buy a size B print of the photo. The size B print is twice as wide and twice as long as the size A print. The photo shop charges $0.12 per square inch for size B prints. What will the photo shop charge Benjamin's father for his print? 4.2 5.4 6 12
353	IA		4	Measurement and Data	4.MD.A.3		1	Marissa will build a chicken coop with an area of 100 square feet. She drew the picture below to help her decide the length and width of the chicken coop. Which length and width, in feet, could she use to build the chicken coop?	20 by 5	25 by 25	80 by 20	400 by 4		Marissa will build a chicken coop with an area of 100 square feet. She drew the picture below to help her decide the length and width of the chicken coop. Which length and width, in feet, could she use to build the chicken coop? 20 by 5 25 by 25 80 by 20 400 by 4
476	IL	2015.0	4	Measurement and Data	4.MD.C.5		0	Which statement about angles is true?	An angle is formed by two rays that do not have the same endpoint.	An angle that turns through   1/360 of a circle has a measure of 360 degrees.	An angle that turns through five 1-degree angles has a measure of 5 degrees.	An angle measure is equal to the total length of the two rays that form the angle.		Which statement about angles is true? An angle is formed by two rays that do not have the same endpoint. An angle that turns through   1/360 of a circle has a measure of 360 degrees. An angle that turns through five 1-degree angles has a measure of 5 degrees. An angle measure is equal to the total length of the two rays that form the angle.
477	IL	2015.0	4	Number and Operations in Base Ten	4.NBT.A.1		0	The value of the digit 4 in the number 42,780 is 10 times the value of the digit 4 in which number?	34651	146703	426135	510400		The value of the digit 4 in the number 42,780 is 10 times the value of the digit 4 in which number? 34651 146703 426135 510400
478	IL	2015.0	4	Number and Operations - Fractions	4.NF.A.1		0	Jordan places two boards end to end to make one shelf. The first board is  47/100 meter long. The second board is  5/10 meter long. What fraction is equivalent to 5/10  and has a denominator of 100?	5 / 100	50 / 100	105 / 100	150 / 100		Jordan places two boards end to end to make one shelf. The first board is  47/100 meter long. The second board is  5/10 meter long. What fraction is equivalent to 5/10  and has a denominator of 100?  5 / 100 50 / 100 105 / 100 150 / 100
479	IL	2015.0	4	Number and Operations - Fractions	4.NF.A.1		0	What is the total length, in meters, of the two boards?	9   7 / 10	5    2 / 10	97 / 100	52 / 100		What is the total length, in meters, of the two boards? 9   7 / 10 5    2 / 10  97 / 100 52 / 100
